Molecule,mpC
CMP001091,75
CMP001092,155
CMP001093,115
CMP001094,95
CMP001095,69
CMP001096,78
CMP001097,84
CMP001098,201
CMP001099,93
CMP001100,54
CMP001101,52
CMP001102,-50
CMP001103,-107
CMP001104,181
CMP001105,50
CMP001106,-59
CMP001107,7
CMP001108,92
CMP001109,91
CMP001110,70
CMP001111,114
CMP001112,195
CMP001113,48
CMP001114,283
CMP001115,213
CMP001116,104
CMP001117,189
CMP001118,32
CMP001119,37
CMP001120,80
CMP001121,-36
CMP001122,119
CMP001123,242
CMP001124,99
CMP001125,21
CMP001126,134
CMP001127,162
CMP001128,52
CMP001129,204
CMP001130,156
CMP001131,49
CMP001132,8
CMP001133,58
CMP001134,-28
CMP001135,43
CMP001136,142
CMP001137,135
CMP001138,109
CMP001139,154
CMP001140,-47
CMP001141,128
CMP001142,-5
CMP001143,-100
CMP001144,-14
CMP001145,84
CMP001146,37
CMP001147,141
CMP001148,40
CMP001149,126
CMP001150,125
CMP001151,166
CMP001152,58
CMP001153,134
CMP001154,164
CMP001155,165
CMP001156,138
CMP001157,174
CMP001158,83
CMP001159,174
CMP001160,-16
CMP001161,169
CMP001162,71
CMP001163,7
CMP001164,-38
CMP001165,148
CMP001166,253
CMP001167,38
CMP001168,34
CMP001169,19
CMP001170,112
CMP001171,153
CMP001172,109
CMP001173,109
CMP001174,-30
CMP001175,86
CMP001176,138
CMP001177,159
CMP001178,83
CMP001179,133
CMP001180,253
CMP001181,86
CMP001182,98
CMP001183,105
CMP001184,127
CMP001185,151
CMP001186,153
CMP001187,44
CMP001188,44
CMP001189,62
CMP001190,63
CMP001191,70
CMP001192,128
CMP001193,203
CMP001194,141
CMP001195,32
CMP001196,171
CMP001197,161
CMP001198,141
CMP001199,40
CMP001200,77
CMP001201,101
CMP001202,56
CMP001203,-110
CMP001204,69
CMP001205,78
CMP001206,91
CMP001207,31
CMP001208,143
CMP001209,34
CMP001210,36
CMP001211,169
CMP001212,29
CMP001213,89
CMP001214,152
CMP001215,75
CMP001216,99
CMP001217,112
CMP001218,70
CMP001219,85
CMP001220,27
CMP001221,245
CMP001222,-16
CMP001223,110
CMP001224,221
CMP001225,94
CMP001226,117
CMP001227,131
CMP001228,46
CMP001229,34
CMP001230,120
CMP001231,93
CMP001232,-2
CMP001233,-3
CMP001234,76
CMP001235,195
CMP001236,112
CMP001237,58
CMP001238,85
CMP001239,215
CMP001240,70
CMP001241,51
CMP001242,86
CMP001243,133
CMP001244,59
CMP001245,-83
CMP001246,215
CMP001247,135
CMP001248,22
CMP001249,32
CMP001250,63
CMP001251,167
CMP001252,238
CMP001253,220
CMP001254,60
CMP001255,168
CMP001256,63
CMP001257,30
CMP001258,59
CMP001259,174
CMP001260,134
CMP001261,67
CMP001262,137
CMP001263,153
CMP001264,56
CMP001265,4
CMP001266,218
CMP001267,142
CMP001268,207
CMP001269,147
CMP001270,39
CMP001271,223
CMP001272,84
CMP001273,34
CMP001274,105
CMP001275,160
CMP001276,200
CMP001277,44
CMP001278,37
CMP001279,182
CMP001280,59
CMP001281,128
CMP001282,81
CMP001283,47
CMP001284,46
CMP001285,61
CMP001286,116
CMP001287,162
CMP001288,200
CMP001289,112
CMP001290,36
CMP001291,118
CMP001292,99
CMP001293,30
CMP001294,130
CMP001295,123
CMP001296,-21
CMP001297,108
CMP001298,206
CMP001299,203
CMP001300,164
CMP001301,59
CMP001302,52
CMP001303,99
CMP001304,69
CMP001305,123
CMP001306,46
CMP001307,81
CMP001308,-76
CMP001309,-157
CMP001310,93
CMP001311,189
CMP001312,117
CMP001313,3
CMP001314,29
CMP001315,157
CMP001316,175
CMP001317,145
CMP001318,24
CMP001319,2
CMP001320,-129
CMP001321,106
CMP001322,105
CMP001323,72
CMP001324,186
CMP001325,-12
CMP001326,105
CMP001327,120
CMP001328,121
CMP001329,126
CMP001330,-30
CMP001331,166
CMP001332,-17
CMP001333,47
CMP001334,47
CMP001335,-52
CMP001336,186
CMP001337,72
CMP001338,-94
CMP001339,-106
CMP001340,114
CMP001341,94
CMP001342,189
CMP001343,69
CMP001344,45
CMP001345,61
CMP001346,100
CMP001347,98
CMP001348,186
CMP001349,41
CMP001350,123
CMP001351,113
CMP001352,144
CMP001353,10
CMP001354,72
CMP001355,276
CMP001356,-43
CMP001357,-69
CMP001358,-43
CMP001359,250
CMP001360,250
CMP001361,82
CMP001362,120
CMP001363,89
CMP001364,115
CMP001365,69
CMP001366,77
CMP001367,180
CMP001368,46
CMP001369,163
CMP001370,81
CMP001371,66
CMP001372,74
CMP001373,142
CMP001374,23
CMP001375,35
CMP001376,66
CMP001377,235
CMP001378,141
CMP001379,57
CMP001380,50
CMP001381,111
CMP001382,99
CMP001383,158
CMP001384,87
CMP001385,115
CMP001386,42
CMP001387,96
CMP001388,186
CMP001389,80
CMP001390,103
CMP001391,121
CMP001392,142
CMP001393,28
CMP001394,-5
CMP001395,124
CMP001396,154
CMP001397,53
CMP001398,87
CMP001399,40
CMP001400,47
CMP001401,72
CMP001402,45
CMP001403,62
CMP001404,235
CMP001405,124
CMP001406,27
CMP001407,146
CMP001408,61
CMP001409,106
CMP001410,109
CMP001411,126
CMP001412,247
CMP001413,242
CMP001414,209
CMP001415,120
CMP001416,256
CMP001417,99
CMP001418,195
CMP001419,90
CMP001420,42
CMP001421,63
CMP001422,32
CMP001423,130
CMP001424,110
CMP001425,80
CMP001426,62
CMP001427,84
CMP001428,60
CMP001429,37
CMP001430,151
CMP001431,83
CMP001432,39
CMP001433,70
CMP001434,31
CMP001435,96
CMP001436,76
CMP001437,50
CMP001438,87
CMP001439,35
CMP001440,159
CMP001441,141
CMP001442,46
CMP001443,42
CMP001444,72
CMP001445,55
CMP001446,100
CMP001447,30
CMP001448,177
CMP001449,80
CMP001450,44
CMP001451,80
CMP001452,54
CMP001453,46
CMP001454,101
CMP001455,147
CMP001456,101
CMP001457,33
CMP001458,61
CMP001459,26
CMP001460,71
CMP001461,192
CMP001462,244
CMP001463,54
CMP001464,169
CMP001465,162
CMP001466,59
CMP001467,65
CMP001468,-26
CMP001469,18
CMP001470,59
CMP001471,-3
CMP001472,87
CMP001473,42
CMP001474,138
CMP001475,151
CMP001476,47
CMP001477,59
CMP001478,38
CMP001479,129
CMP001480,60
CMP001481,-1
CMP001482,60
CMP001483,-13
CMP001484,10
CMP001485,112
CMP001486,194
CMP001487,45
CMP001488,44
CMP001489,37
CMP001490,122
CMP001491,-8
CMP001492,3
CMP001493,161
CMP001494,249
CMP001495,188
CMP001496,46
CMP001497,23
CMP001498,123
CMP001499,84
CMP001500,23
CMP001501,118
CMP001502,177
CMP001503,128
CMP001504,154
CMP001505,144
CMP001506,136
CMP001507,241
CMP001508,146
CMP001509,100
CMP001510,348
CMP001511,39
CMP001512,74
CMP001513,40
CMP001514,35
CMP001515,69
CMP001516,107
CMP001517,118
CMP001518,168
CMP001519,72
CMP001520,109
CMP001521,94
CMP001522,59
CMP001523,37
CMP001524,100
CMP001525,32
CMP001526,52
CMP001527,110
CMP001528,17
CMP001529,-70
CMP001530,67
CMP001531,70
CMP001532,-15
CMP001533,-9
CMP001534,206
CMP001535,125
CMP001536,86
CMP001537,-123
CMP001538,22
CMP001539,141
CMP001540,27
CMP001541,-64
CMP001542,-21
CMP001543,132
CMP001544,178
CMP001545,91
CMP001546,67
CMP001547,102
CMP001548,181
CMP001549,51
CMP001550,107
CMP001551,139
CMP001552,180
CMP001553,69
CMP001554,55
CMP001555,112
CMP001556,67
CMP001557,-60
CMP001558,-23
CMP001559,149
CMP001560,125
CMP001561,84
CMP001562,177
CMP001563,237
CMP001564,239
CMP001565,311
CMP001566,201
CMP001567,132
CMP001568,147
CMP001569,61
CMP001570,79
CMP001571,55
CMP001572,41
CMP001573,299
CMP001574,96
CMP001575,136
CMP001576,69
CMP001577,45
CMP001578,38
CMP001579,54
CMP001580,95
CMP001581,71
CMP001582,155
CMP001583,49
CMP001584,73
CMP001585,94
CMP001586,47
CMP001587,-6
CMP001588,6
CMP001589,160
CMP001590,87
CMP001591,52
CMP001592,220
CMP001593,155
CMP001594,95
CMP001595,12
CMP001596,50
CMP001597,56
CMP001598,160
CMP001599,213
CMP001600,38
CMP001601,180
CMP001602,153
CMP001603,130
CMP001604,78
CMP001605,41
CMP001606,170
CMP001607,57
CMP001608,30
CMP001609,104
CMP001610,69
CMP001611,61
CMP001612,154
CMP001613,-41
CMP001614,148
CMP001615,5
CMP001616,85
CMP001617,88
CMP001618,147
CMP001619,99
CMP001620,91
CMP001621,14
CMP001622,112
CMP001623,141
CMP001624,130
CMP001625,33
CMP001626,139
CMP001627,111
CMP001628,38
CMP001629,125
CMP001630,75
CMP001631,-35
CMP001632,63
CMP001633,206
CMP001634,99
CMP001635,98
CMP001636,155
CMP001637,41
CMP001638,19
CMP001639,80
CMP001640,49
CMP001641,93
CMP001642,147
CMP001643,114
CMP001644,77
CMP001645,82
CMP001646,40
CMP001647,36
CMP001648,124
CMP001649,20
CMP001650,63
CMP001651,-75
CMP001652,50
CMP001653,89
CMP001654,12
CMP001655,221
CMP001656,89
CMP001657,20
CMP001658,28
CMP001659,15
CMP001660,180
CMP001661,134
CMP001662,40
CMP001663,41
CMP001664,130
CMP001665,-62
CMP001666,76
CMP001667,115
CMP001668,128
CMP001669,28
CMP001670,15
CMP001671,253
CMP001672,-35
CMP001673,-63
CMP001674,140
CMP001675,240
CMP001676,88
CMP001677,72
CMP001678,217
CMP001679,216
CMP001680,153
CMP001681,-6
CMP001682,-20
CMP001683,20
CMP001684,116
CMP001685,123
CMP001686,165
CMP001687,150
CMP001688,138
CMP001689,57
CMP001690,80
CMP001691,160
CMP001692,71
CMP001693,302
CMP001694,120
CMP001695,105
CMP001696,117
CMP001697,123
CMP001698,191
CMP001699,38
CMP001700,65
CMP001701,55
CMP001702,44
CMP001703,46
CMP001704,74
CMP001705,50
CMP001706,207
CMP001707,56
CMP001708,56
CMP001709,81
CMP001710,165
CMP001711,55
CMP001712,119
CMP001713,80
