Molecule,y1_true,y1_pred,y1_pred_stdev,y1_pred_res,y1_pred_freq,y1_recalc,y1_recalc_stdev,y1_recalc_res,y1_recalc_freq
CMPLOGP00003165,2.9300,3.0594,0.2405,-0.1294,5,2.9072,0.0666,0.0228,17
CMPLOGP00003338,3.1200,3.1598,0.1816,-0.0398,5,3.1749,0.0507,-0.0549,14
CMPLOGP00000221,-0.6600,0.7932,0.1439,-1.4532,5,-0.5434,0.0358,-0.1166,17
CMPLOGP00002032,1.9000,1.3617,0.2077,0.5383,5,1.8399,0.0304,0.0601,19
CMPLOGP00005521,7.6800,7.4131,0.1781,0.2669,5,7.6593,0.0391,0.0207,14
CMPLOGP00001275,1.1500,1.0755,0.0867,0.0745,5,1.1173,0.0390,0.0327,17
CMPLOGP00001436,1.3200,-0.9756,0.2289,2.2956,5,1.1324,0.0258,0.1876,19
CMPLOGP00001236,1.1000,0.9719,0.2326,0.1281,5,1.0701,0.0249,0.0299,15
CMPLOGP00005170,5.8900,5.5156,0.1150,0.3744,5,5.8465,0.0341,0.0435,16
CMPLOGP00001406,1.3000,1.5047,0.3051,-0.2047,5,1.3136,0.0247,-0.0136,18
CMPLOGP00003007,2.8000,3.0099,0.1548,-0.2099,5,2.8450,0.0463,-0.0450,17
CMPLOGP00001383,1.2700,1.2958,0.1620,-0.0258,5,1.2826,0.0469,-0.0126,16
CMPLOGP00004081,3.8800,3.4951,0.1120,0.3849,5,3.8413,0.0246,0.0387,20
CMPLOGP00000347,-0.2600,1.0934,0.4280,-1.3534,5,-0.2098,0.0274,-0.0502,13
CMPLOGP00000022,-2.8000,0.1573,0.3084,-2.9573,5,-2.5660,0.0498,-0.2340,18
CMPLOGP00005305,6.3600,5.9490,0.2209,0.4110,5,6.2749,0.0464,0.0851,17
CMPLOGP00001029,0.8600,1.9143,0.3256,-1.0543,5,0.9393,0.0350,-0.0793,15
CMPLOGP00004872,5.0700,5.2683,0.1814,-0.1983,5,5.1285,0.0201,-0.0585,18
CMPLOGP00000880,0.6100,0.7344,0.2160,-0.1244,5,0.6280,0.0553,-0.0180,18
CMPLOGP00002699,2.5000,2.8807,0.1255,-0.3807,5,2.5273,0.0341,-0.0273,16
CMPLOGP00000443,0.0000,0.0,0.0,0.0,0,0.0,0.0,0.0,0
CMPLOGP00002303,2.1600,1.8109,0.1089,0.3491,5,2.0897,0.0372,0.0703,14
CMPLOGP00004632,4.6600,4.6588,0.0895,0.0012,5,4.6544,0.0459,0.0056,11
CMPLOGP00000872,0.6000,1.6417,0.7409,-1.0417,5,0.6597,0.0275,-0.0597,15
CMPLOGP00003091,2.8700,2.7628,0.1696,0.1072,5,2.8674,0.0455,0.0026,15
CMPLOGP00001299,1.1800,1.8104,0.2375,-0.6304,5,1.2574,0.0295,-0.0774,15
CMPLOGP00004220,4.0200,4.8221,0.5067,-0.8021,5,4.0903,0.0370,-0.0703,14
CMPLOGP00002724,2.5200,2.4092,0.1605,0.1108,5,2.5023,0.0297,0.0177,18
CMPLOGP00003681,3.4300,2.7789,0.1638,0.6511,5,3.3922,0.0349,0.0378,17
CMPLOGP00005153,5.8500,5.0218,0.3557,0.8282,5,5.7777,0.0498,0.0723,18
CMPLOGP00001154,1.0100,1.3540,0.0687,-0.3440,5,1.0591,0.0456,-0.0491,19
CMPLOGP00000977,0.7800,1.9560,0.0736,-1.1760,5,1.0421,0.0406,-0.2621,17
CMPLOGP00004848,5.0400,5.2498,0.1396,-0.2098,5,5.1351,0.0400,-0.0951,16
CMPLOGP00004123,3.9200,3.6613,0.1236,0.2587,5,3.8718,0.0422,0.0482,15
CMPLOGP00001143,1.0000,1.1800,0.1955,-0.1800,5,1.0287,0.0456,-0.0287,14
CMPLOGP00004420,4.3200,4.1076,0.1006,0.2124,5,4.3400,0.0544,-0.0200,17
CMPLOGP00002505,2.3400,2.2628,0.1911,0.0772,5,2.3432,0.0286,-0.0032,14
CMPLOGP00001571,1.4839,0.9799,0.2704,0.5040,5,1.4599,0.0375,0.0240,15
CMPLOGP00002963,2.7500,3.0829,0.1596,-0.3329,5,2.8587,0.0705,-0.1087,19
CMPLOGP00000191,-0.8000,0.1689,0.2978,-0.9689,5,-0.6914,0.0378,-0.1086,13
CMPLOGP00001634,1.5400,1.4457,0.1732,0.0943,5,1.5389,0.0538,0.0011,18
CMPLOGP00003901,3.6500,4.1837,0.1369,-0.5337,5,3.7351,0.0576,-0.0851,17
CMPLOGP00002406,2.2600,3.5839,0.9651,-1.3239,5,2.2576,0.0281,0.0024,19
CMPLOGP00001865,1.7500,1.8425,0.1170,-0.0925,5,1.8187,0.0291,-0.0687,17
CMPLOGP00004944,5.2600,4.6948,0.1944,0.5652,5,5.2038,0.0709,0.0562,15
CMPLOGP00000601,0.1800,-0.0357,0.2400,0.2157,5,0.1109,0.0387,0.0691,14
CMPLOGP00003177,2.9400,2.0769,0.0810,0.8631,5,2.6810,0.0530,0.2590,14
CMPLOGP00002823,2.6100,2.0523,0.2715,0.5577,5,2.5201,0.0382,0.0899,18
CMPLOGP00003370,3.1500,1.9666,0.4051,1.1834,5,3.0956,0.0526,0.0544,19
CMPLOGP00001820,1.7100,2.1021,0.2436,-0.3921,5,1.7745,0.0405,-0.0645,18
CMPLOGP00002814,2.6000,2.8277,0.2310,-0.2277,5,2.6297,0.0631,-0.0297,11
CMPLOGP00004606,4.6000,4.6957,0.1195,-0.0957,5,4.6561,0.0480,-0.0561,18
CMPLOGP00001147,1.0000,1.9824,0.0873,-0.9824,5,1.0645,0.0239,-0.0645,17
CMPLOGP00002368,2.2100,2.4919,0.2442,-0.2819,5,2.2519,0.0292,-0.0419,17
CMPLOGP00000183,-0.8700,-0.7299,0.1451,-0.1401,5,-0.8823,0.0349,0.0123,15
CMPLOGP00000932,0.7000,1.6210,0.3129,-0.9210,5,0.8357,0.0486,-0.1357,16
CMPLOGP00003062,2.8300,1.9569,0.1826,0.8731,5,2.6924,0.0497,0.1376,13
CMPLOGP00000509,0.0360,3.8039,0.6273,-3.7679,5,0.0397,0.0121,-0.0037,15
CMPLOGP00002512,2.3500,2.4511,0.2587,-0.1011,5,2.3960,0.0275,-0.0460,12
CMPLOGP00005357,6.6000,6.1672,0.3037,0.4328,5,6.5868,0.0366,0.0132,13
CMPLOGP00004040,3.8250,3.6804,0.2643,0.1446,5,3.8015,0.0321,0.0235,17
CMPLOGP00003954,3.7000,1.4915,0.1145,2.2085,5,3.5521,0.0225,0.1479,18
CMPLOGP00005156,5.8600,5.8549,0.3851,0.0051,5,5.7764,0.0619,0.0836,17
CMPLOGP00002232,2.0800,2.3428,0.1301,-0.2628,5,2.1415,0.0527,-0.0615,12
CMPLOGP00003577,3.3500,3.4245,0.1745,-0.0745,5,3.3559,0.0517,-0.0059,16
CMPLOGP00000047,-2.0930,-0.4863,0.2762,-1.6067,5,-2.0142,0.0244,-0.0788,15
CMPLOGP00004417,4.3100,3.9384,0.1929,0.3716,5,4.3353,0.0394,-0.0253,12
CMPLOGP00004363,4.2300,3.7315,0.1859,0.4985,5,4.2321,0.0433,-0.0021,17
CMPLOGP00005565,8.1800,8.4195,0.2135,-0.2395,5,8.2349,0.0229,-0.0549,18
CMPLOGP00002095,1.9600,3.0365,0.1537,-1.0765,5,2.0204,0.0329,-0.0604,14
CMPLOGP00003555,3.3100,2.5834,0.1272,0.7266,5,3.1997,0.0370,0.1103,16
CMPLOGP00004011,3.8000,3.6921,0.0637,0.1079,5,3.7914,0.0359,0.0086,16
CMPLOGP00003255,3.0200,2.5424,0.2370,0.4776,5,2.9056,0.0484,0.1144,20
CMPLOGP00004558,4.5200,4.3350,0.2084,0.1850,5,4.4590,0.0330,0.0610,18
CMPLOGP00005360,6.6000,6.4020,0.1238,0.1980,5,6.5333,0.0482,0.0667,13
CMPLOGP00000492,0.0000,0.0,0.0,0.0,0,0.0,0.0,0.0,0
CMPLOGP00003331,3.1100,3.2490,0.2060,-0.1390,5,3.0931,0.0376,0.0169,19
CMPLOGP00002835,2.6200,2.8896,0.1832,-0.2696,5,2.6806,0.0541,-0.0606,16
CMPLOGP00002009,1.8900,1.8311,0.1455,0.0589,5,1.8932,0.0587,-0.0032,17
CMPLOGP00002250,2.1000,2.5471,0.1314,-0.4471,5,2.1189,0.0489,-0.0189,18
CMPLOGP00001910,1.8000,2.2664,0.1325,-0.4664,5,1.8882,0.0436,-0.0882,15
CMPLOGP00002988,2.7700,1.5133,0.5792,1.2567,5,2.6954,0.0519,0.0746,19
CMPLOGP00002698,2.5000,2.2402,0.1830,0.2598,5,2.4396,0.0191,0.0604,13
CMPLOGP00002099,1.9700,4.3237,1.0405,-2.3537,5,1.9901,0.0166,-0.0201,15
CMPLOGP00004877,5.0800,4.9738,0.1055,0.1062,5,5.0859,0.0351,-0.0059,16
CMPLOGP00001702,1.6000,2.4139,0.1574,-0.8139,5,1.7844,0.0537,-0.1844,13
CMPLOGP00002093,1.9600,1.8139,0.5269,0.1461,5,1.9760,0.0970,-0.0160,15
CMPLOGP00001150,1.0100,0.8075,0.0928,0.2025,5,1.0240,0.0379,-0.0140,17
CMPLOGP00000948,0.7300,0.5192,0.1964,0.2108,5,0.6769,0.0433,0.0531,17
CMPLOGP00004222,4.0300,2.0452,0.2187,1.9848,5,3.8693,0.0372,0.1607,15
CMPLOGP00003262,3.0300,3.0721,0.1794,-0.0421,5,2.9895,0.0498,0.0405,16
CMPLOGP00001201,1.0700,1.7826,0.3143,-0.7126,5,1.0896,0.0214,-0.0196,14
CMPLOGP00003678,3.4300,2.8190,0.2173,0.6110,5,3.4029,0.0399,0.0271,17
CMPLOGP00002026,1.9000,2.8816,1.0020,-0.9816,5,1.9556,0.0445,-0.0556,18
CMPLOGP00000825,0.5200,0.4728,0.3422,0.0472,5,0.4771,0.0882,0.0429,17
CMPLOGP00002662,2.4700,2.6062,0.1498,-0.1362,5,2.5028,0.0406,-0.0328,16
CMPLOGP00002479,2.3100,2.4172,0.0698,-0.1072,5,2.3547,0.0460,-0.0447,15
CMPLOGP00001683,1.5900,1.9660,0.1629,-0.3760,5,1.6197,0.0519,-0.0297,13
CMPLOGP00003070,2.8400,2.4444,0.2303,0.3956,5,2.7648,0.0520,0.0752,18
CMPLOGP00001114,0.9600,1.2449,0.2981,-0.2849,5,0.8937,0.0552,0.0663,14
CMPLOGP00000570,0.1400,0.3943,0.1587,-0.2543,5,0.1783,0.0852,-0.0383,15
CMPLOGP00002039,1.9100,2.7535,0.1692,-0.8435,5,2.0406,0.0473,-0.1306,17
CMPLOGP00003068,2.8400,3.1760,0.1317,-0.3360,5,2.9008,0.0224,-0.0608,18
CMPLOGP00004133,3.9300,4.1199,0.0847,-0.1899,5,3.9480,0.0507,-0.0180,14
CMPLOGP00002702,2.5000,2.0483,0.0643,0.4517,5,2.3787,0.0249,0.1213,16
CMPLOGP00002456,2.3000,2.7367,0.2548,-0.4367,5,2.3714,0.0423,-0.0714,15
CMPLOGP00004645,4.6800,4.5429,0.1069,0.1371,5,4.6403,0.0455,0.0397,16
CMPLOGP00004950,5.2700,5.7805,0.1945,-0.5105,5,5.3915,0.0614,-0.1215,16
CMPLOGP00002301,2.1500,2.4263,0.1463,-0.2763,5,2.2521,0.0373,-0.1021,16
CMPLOGP00003218,2.9900,3.1783,0.0649,-0.1883,5,3.0129,0.0506,-0.0229,15
CMPLOGP00001153,1.0100,1.7938,0.2304,-0.7838,5,1.0645,0.0220,-0.0545,14
CMPLOGP00000269,-0.4900,-0.0199,0.1501,-0.4701,5,-0.4309,0.0461,-0.0591,17
CMPLOGP00004408,4.3000,4.6290,0.1784,-0.3290,5,4.3164,0.0303,-0.0164,17
CMPLOGP00002446,2.3000,3.0319,0.2022,-0.7319,5,2.4006,0.0301,-0.1006,17
CMPLOGP00003855,3.6000,3.9509,0.2915,-0.3509,5,3.6608,0.0491,-0.0608,14
CMPLOGP00005487,7.4300,7.1677,0.3595,0.2623,5,7.4364,0.0354,-0.0064,17
CMPLOGP00003097,2.8800,2.2555,0.1812,0.6245,5,2.8292,0.0474,0.0508,16
CMPLOGP00005602,9.0800,8.7372,0.5501,0.3428,5,9.0378,0.0251,0.0422,19
CMPLOGP00001026,0.8500,0.4722,0.2074,0.3778,5,0.8473,0.0335,0.0027,15
CMPLOGP00001443,1.3300,1.1136,0.1740,0.2164,5,1.2758,0.0276,0.0542,16
CMPLOGP00005545,7.9000,7.7995,0.0752,0.1005,5,7.9101,0.0413,-0.0101,16
CMPLOGP00001746,1.6600,1.9960,0.1444,-0.3360,5,1.7590,0.0590,-0.0990,17
CMPLOGP00002758,2.5500,3.2612,0.2695,-0.7112,5,2.6316,0.0420,-0.0816,16
CMPLOGP00005138,5.8000,5.4531,0.1632,0.3469,5,5.7998,0.0298,0.0002,15
CMPLOGP00004057,3.8500,2.1265,0.3685,1.7235,5,3.8137,0.0195,0.0363,17
CMPLOGP00003283,3.0600,3.0783,0.0570,-0.0183,5,3.0797,0.0489,-0.0197,17
CMPLOGP00004223,4.0300,3.7742,0.0611,0.2558,5,3.9756,0.0398,0.0544,17
CMPLOGP00003668,3.4100,2.5738,0.2314,0.8362,5,3.4079,0.0409,0.0021,16
CMPLOGP00000895,0.6400,0.6916,0.3139,-0.0516,5,0.6433,0.0335,-0.0033,19
CMPLOGP00004211,4.0100,3.9618,0.1606,0.0482,5,3.9301,0.0585,0.0799,17
CMPLOGP00003378,3.1600,3.2265,0.1006,-0.0665,5,3.1906,0.0526,-0.0306,15
CMPLOGP00003857,3.6000,4.3103,0.5029,-0.7103,5,3.5976,0.0639,0.0024,18
CMPLOGP00002704,2.5000,0.6740,0.2125,1.8260,5,2.3700,0.0340,0.1300,15
CMPLOGP00004726,4.8000,4.2866,0.1493,0.5134,5,4.6870,0.0545,0.1130,18
CMPLOGP00004743,4.8300,4.3386,0.1913,0.4914,5,4.7696,0.0500,0.0604,17
CMPLOGP00001764,1.6700,1.6254,0.1978,0.0446,5,1.6822,0.0359,-0.0122,13
CMPLOGP00002749,2.5500,2.3485,0.1506,0.2015,5,2.5198,0.0388,0.0302,14
CMPLOGP00004016,3.8000,3.7362,0.1972,0.0638,5,3.8028,0.0277,-0.0028,16
CMPLOGP00005579,8.4400,8.2334,0.3933,0.2066,5,8.4638,0.0280,-0.0238,18
CMPLOGP00000750,0.4300,1.9442,0.3006,-1.5142,5,0.4942,0.0179,-0.0642,14
CMPLOGP00001785,1.6900,1.9377,0.0570,-0.2477,5,1.7631,0.0358,-0.0731,16
CMPLOGP00002645,2.4600,1.6957,0.1924,0.7643,5,2.2442,0.0298,0.2158,17
CMPLOGP00003230,3.0000,3.3253,0.1248,-0.3253,5,2.9930,0.0570,0.0070,18
CMPLOGP00001034,0.8600,1.0876,0.2149,-0.2276,5,0.9132,0.0422,-0.0532,18
CMPLOGP00005237,6.1000,5.6046,0.3732,0.4954,5,6.1023,0.0415,-0.0023,14
CMPLOGP00001495,1.4100,1.0903,0.1841,0.3197,5,1.3979,0.0485,0.0121,15
CMPLOGP00004015,3.8000,3.2807,0.1407,0.5193,5,3.6149,0.0461,0.1851,14
CMPLOGP00001543,1.4600,1.6294,0.1837,-0.1694,5,1.4861,0.0197,-0.0261,15
CMPLOGP00004381,4.2600,4.1093,0.0794,0.1507,5,4.2121,0.0278,0.0479,20
CMPLOGP00000496,0.0000,0.0,0.0,0.0,0,0.0,0.0,0.0,0
CMPLOGP00005485,7.4000,6.4962,0.1953,0.9038,5,7.3202,0.0357,0.0798,18
CMPLOGP00003773,3.5000,3.6028,0.2213,-0.1028,5,3.4968,0.0445,0.0032,15
CMPLOGP00000542,0.0850,0.3088,0.1194,-0.2238,5,0.1369,0.0285,-0.0519,19
CMPLOGP00003892,3.6300,5.0252,0.5166,-1.3952,5,3.6780,0.0174,-0.0480,18
CMPLOGP00005200,5.9800,5.8243,0.1731,0.1557,5,5.9160,0.0550,0.0640,14
CMPLOGP00001717,1.6300,1.5727,0.1206,0.0573,5,1.5475,0.0610,0.0825,17
CMPLOGP00003185,2.9500,3.0853,0.2958,-0.1353,5,2.9159,0.0778,0.0341,15
CMPLOGP00004404,4.3000,4.6957,0.2093,-0.3957,5,4.3667,0.0513,-0.0667,16
CMPLOGP00003076,2.8500,2.7587,0.2284,0.0913,5,2.8825,0.0405,-0.0325,17
CMPLOGP00001998,1.8800,1.9823,0.1360,-0.1023,5,1.8975,0.0355,-0.0175,15
CMPLOGP00004053,3.8400,3.0101,0.1957,0.8299,5,3.6951,0.0494,0.1449,14
CMPLOGP00001529,1.4400,1.5653,0.6069,-0.1253,5,1.4821,0.0869,-0.0421,18
CMPLOGP00000821,0.5100,0.1297,0.1650,0.3803,5,0.4324,0.0324,0.0776,17
CMPLOGP00005483,7.4000,7.3508,0.3917,0.0492,5,7.4782,0.0336,-0.0782,15
CMPLOGP00003783,3.5100,3.2190,0.3279,0.2910,5,3.5010,0.0216,0.0090,15
CMPLOGP00002576,2.4000,3.3599,0.2508,-0.9599,5,2.4854,0.0301,-0.0854,18
CMPLOGP00000344,-0.2700,0.3629,0.3652,-0.6329,5,-0.2110,0.0731,-0.0590,18
CMPLOGP00003633,3.4000,3.9903,0.2888,-0.5903,5,3.4203,0.0361,-0.0203,17
CMPLOGP00002613,2.4300,2.3703,0.1401,0.0597,5,2.3980,0.0380,0.0320,15
CMPLOGP00002457,2.3000,2.9197,0.0699,-0.6197,5,2.4889,0.0614,-0.1889,19
CMPLOGP00000365,-0.2100,2.2360,0.1763,-2.4460,5,0.1082,0.0320,-0.3182,15
CMPLOGP00001006,0.8200,0.7828,0.1325,0.0372,5,0.8228,0.0435,-0.0028,16
CMPLOGP00002899,2.7000,4.1279,0.4106,-1.4279,5,2.8592,0.0549,-0.1592,17
CMPLOGP00001269,1.1400,0.2628,0.1890,0.8772,5,1.0503,0.0340,0.0897,14
CMPLOGP00003487,3.2600,3.5258,0.2042,-0.2658,5,3.2712,0.0478,-0.0112,19
CMPLOGP00005563,8.1500,4.7650,0.1730,3.3850,5,7.9593,0.0331,0.1907,16
CMPLOGP00002850,2.6500,2.9644,0.1616,-0.3144,5,2.7290,0.0423,-0.0790,16
CMPLOGP00000491,0.0000,0.0,0.0,0.0,0,0.0,0.0,0.0,0
CMPLOGP00002941,2.7300,2.2803,0.7605,0.4497,5,2.7629,0.0471,-0.0329,15
CMPLOGP00005253,6.1400,4.1930,0.1679,1.9470,5,6.0330,0.0219,0.1070,18
CMPLOGP00005576,8.3900,8.1233,0.0692,0.2667,5,8.3609,0.0442,0.0291,17
CMPLOGP00005131,5.7800,5.1077,0.9131,0.6723,5,5.6408,0.0924,0.1392,19
CMPLOGP00001961,1.8400,2.0021,0.2411,-0.1621,5,1.8630,0.0434,-0.0230,14
CMPLOGP00005512,7.6100,6.8035,0.3194,0.8065,5,7.5192,0.0465,0.0908,15
CMPLOGP00003742,3.4900,3.6491,0.0909,-0.1591,5,3.5679,0.0357,-0.0779,16
CMPLOGP00005108,5.7100,5.5997,0.1181,0.1103,5,5.7027,0.0222,0.0073,14
CMPLOGP00003905,3.6600,3.3978,0.2078,0.2622,5,3.6354,0.0292,0.0246,17
CMPLOGP00005263,6.1900,6.1882,0.0540,0.0018,5,6.1686,0.0423,0.0214,17
CMPLOGP00001193,1.0590,1.3598,0.1638,-0.3008,5,1.1636,0.0611,-0.1046,17
CMPLOGP00001144,1.0000,1.5132,0.1818,-0.5132,5,1.0534,0.0438,-0.0534,14
CMPLOGP00005174,5.9000,5.2680,0.1433,0.6320,5,5.8753,0.0393,0.0247,14
CMPLOGP00003146,2.9100,2.8867,0.1953,0.0233,5,2.8268,0.0433,0.0832,14
CMPLOGP00000843,0.5500,1.1349,0.1459,-0.5849,5,0.6682,0.0628,-0.1182,19
CMPLOGP00001906,1.8000,1.9313,0.1100,-0.1313,5,1.8177,0.0326,-0.0177,18
CMPLOGP00001248,1.1200,1.3352,0.0319,-0.2152,5,1.1516,0.0335,-0.0316,12
CMPLOGP00002339,2.1900,2.1198,0.1225,0.0702,5,2.1711,0.0324,0.0189,17
CMPLOGP00004746,4.8400,4.6210,0.1026,0.2190,5,4.7998,0.0379,0.0402,15
CMPLOGP00000571,0.1400,0.4401,0.2542,-0.3001,5,0.1255,0.0199,0.0145,18
CMPLOGP00004667,4.7000,4.8875,0.1624,-0.1875,5,4.7286,0.0474,-0.0286,15
CMPLOGP00005549,7.9700,7.5758,0.3123,0.3942,5,7.9266,0.0591,0.0434,17
CMPLOGP00001135,1.0000,0.6909,0.1381,0.3091,5,0.9546,0.0349,0.0454,17
CMPLOGP00003408,3.1900,2.5830,0.1632,0.6070,5,3.0849,0.0564,0.1051,16
CMPLOGP00000472,0.0000,0.0,0.0,0.0,0,0.0,0.0,0.0,0
CMPLOGP00003912,3.6700,3.5309,0.1624,0.1391,5,3.6466,0.0458,0.0234,18
CMPLOGP00005465,7.2900,7.0411,0.2525,0.2489,5,7.2587,0.0418,0.0313,17
CMPLOGP00002161,2.0100,1.8828,0.1759,0.1272,5,2.0093,0.0716,0.0007,17
CMPLOGP00002587,2.4100,2.3685,0.0906,0.0415,5,2.4123,0.0329,-0.0023,18
CMPLOGP00004916,5.2000,5.2628,0.2029,-0.0628,5,5.2441,0.0251,-0.0441,16
CMPLOGP00001930,1.8100,1.6976,0.0746,0.1124,5,1.7877,0.0444,0.0223,15
CMPLOGP00004967,5.3200,6.0567,0.2248,-0.7367,5,5.3690,0.0238,-0.0490,17
CMPLOGP00001536,1.4500,1.0939,0.2178,0.3561,5,1.3181,0.0407,0.1319,17
CMPLOGP00002711,2.5100,4.6728,0.6281,-2.1628,5,2.5349,0.0201,-0.0249,18
CMPLOGP00004740,4.8300,3.8150,0.1844,1.0150,5,4.6611,0.0408,0.1689,18
CMPLOGP00002828,2.6100,2.5545,0.1587,0.0555,5,2.5644,0.0411,0.0456,15
CMPLOGP00002532,2.3700,2.3241,0.1112,0.0459,5,2.3722,0.0377,-0.0022,12
CMPLOGP00002315,2.1600,1.7648,0.0887,0.3952,5,2.0547,0.0416,0.1053,15
CMPLOGP00002675,2.4800,2.0550,0.2515,0.4250,5,2.4039,0.0510,0.0761,16
CMPLOGP00005068,5.6100,5.7640,0.1084,-0.1540,5,5.6189,0.0677,-0.0089,17
CMPLOGP00001444,1.3400,1.2458,0.1132,0.0942,5,1.3240,0.0348,0.0160,15
CMPLOGP00003254,3.0200,2.4641,0.0965,0.5559,5,2.9205,0.0472,0.0995,19
CMPLOGP00002779,2.5700,2.6006,0.1986,-0.0306,5,2.6042,0.0450,-0.0342,18
CMPLOGP00002050,1.9200,3.8390,0.2327,-1.9190,5,1.9507,0.0262,-0.0307,18
CMPLOGP00000529,0.0600,0.7293,0.1635,-0.6693,5,0.1520,0.0346,-0.0920,15
CMPLOGP00003287,3.0670,3.5800,0.1366,-0.5130,5,3.1910,0.0504,-0.1240,16
CMPLOGP00001863,1.7500,2.0023,0.2302,-0.2523,5,1.7967,0.0396,-0.0467,11
CMPLOGP00003401,3.1800,3.2735,0.2337,-0.0935,5,3.1523,0.0516,0.0277,15
CMPLOGP00003759,3.5000,4.7603,0.3513,-1.2603,5,3.6556,0.0429,-0.1556,18
CMPLOGP00005080,5.6300,4.4704,0.2803,1.1596,5,5.6070,0.0299,0.0230,16
CMPLOGP00005477,7.3500,6.4887,0.4270,0.8613,5,7.3113,0.0415,0.0387,16
CMPLOGP00004621,4.6400,4.4395,0.2255,0.2005,5,4.6172,0.0370,0.0228,15
CMPLOGP00004946,5.2600,4.8256,0.2653,0.4344,5,5.1946,0.0480,0.0654,15
CMPLOGP00000028,-2.6100,0.9144,0.5406,-3.5244,5,-2.3625,0.0492,-0.2475,16
CMPLOGP00002706,2.5000,2.5287,0.3844,-0.0287,5,2.5168,0.0218,-0.0168,18
CMPLOGP00002980,2.7600,2.2032,0.1328,0.5568,5,2.6801,0.0322,0.0799,16
CMPLOGP00005213,6.0200,6.0817,0.1347,-0.0617,5,6.0687,0.0464,-0.0487,11
CMPLOGP00000600,0.1800,-0.0054,0.1487,0.1854,5,0.1285,0.0320,0.0515,19
CMPLOGP00004543,4.5000,3.9355,0.3128,0.5645,5,4.4743,0.0395,0.0257,13
CMPLOGP00003482,3.2600,3.3982,0.2688,-0.1382,5,3.3250,0.0586,-0.0650,16
CMPLOGP00000049,-2.0200,-0.3986,0.7229,-1.6214,5,-1.8294,0.0681,-0.1906,17
CMPLOGP00004400,4.3000,4.1439,0.0457,0.1561,5,4.2612,0.0346,0.0388,19
CMPLOGP00002997,2.7800,2.7768,0.1242,0.0032,5,2.7868,0.0554,-0.0068,14
CMPLOGP00004567,4.5300,4.2910,0.2994,0.2390,5,4.4819,0.0288,0.0481,13
CMPLOGP00004627,4.6500,4.6107,0.1456,0.0393,5,4.6597,0.0360,-0.0097,14
CMPLOGP00004076,3.8700,4.4395,0.1121,-0.5695,5,3.9253,0.0461,-0.0553,16
CMPLOGP00002477,2.3100,2.6911,0.1574,-0.3811,5,2.3564,0.0760,-0.0464,15
CMPLOGP00003899,3.6500,4.6112,0.3747,-0.9612,5,3.7120,0.0461,-0.0620,16
CMPLOGP00000902,0.6600,0.5327,0.0833,0.1273,5,0.5427,0.0398,0.1173,10
CMPLOGP00004435,4.3400,-1.8853,0.5174,6.2253,5,4.2095,0.0562,0.1305,9
CMPLOGP00002263,2.1100,1.5121,0.3182,0.5979,5,2.0937,0.0397,0.0163,14
CMPLOGP00000551,0.1080,0.4531,0.5172,-0.3451,5,0.0951,0.0337,0.0129,19
CMPLOGP00004301,4.1400,4.2306,0.2249,-0.0906,5,4.1530,0.0451,-0.0130,15
CMPLOGP00003728,3.4800,3.5509,0.0910,-0.0709,5,3.5052,0.0340,-0.0252,17
CMPLOGP00003450,3.2100,1.7145,0.2222,1.4955,5,2.9468,0.0350,0.2632,16
