Molecule,TOPK,MAP4K4,CDC42BPA,MST1R,CSF1R,KIAA1811,MAP2K2,DYRK1A,IKBKE,MAPK10,MAP3K10,CAMK2A,IKBKB,NLK,AXL,LTK,CSNK1G3,MAPK14,FRK,STK3,CSNK1G2,PRKCQ,NTRK3,MATK,RPS6KA3,CLK2,MAP2K1,JAK2,PRKCZ,PRKG1,PHKG2,PLK3,TBK1,AKT3,PASK,PRKAA1,PRKG2,PRKCD,ALK,PLK4,RET,PRKD2,RPS6KB1,HCK,CAMK2G,EEF2K,SYK,MARK4,TYRO3,PRKCN,STK22B,STK17A,LCK,DAPK3,CHEK2,ACVR1,ROCK2,CDK2,SRPK1,MAPK8,PIM1,STK6,MAPKAPK5,MAPKAPK2,STK33,CDC7,RPS6KA4,BTK,KIT,CSNK2A1,PAK4,PAK1,CAMK2D,AKT2,FGFR1,CSNK1A1,JAK3,CSNK1G1,RPS6KA5,LYN,MAPK9,ITK,PKN2,LIMK1,TAO1,ROS1,BLK,STK22D,HIPK2,CAMKK2,MARK3,NTRK1,FES,INSR,PTK2B,MAPK13,BRAF,ZAK,PIM3,TYK2,EGFR,PRKCG,SRC,BMX,SRMS,GSK3A,MAP4K2,DYRK3,WEE1,MET,CHUK,ACK1,PDGFRB,FLT3,ERBB2,MAPKAPK3,CHEK1,CSNK1D,SIK2,ABL1,MKNK2,CAMK2B,KDR,GPRK5,CDK5,EPHA2,IGF1R,SGK,MAPK1,MINK,NEK4,DYRK4,PRKCI,DYRK1B,PRKX,PTK2,IRAK1,PTK6,MELK,PDGFRA,LRRK2,STK12,IRAK4,AKT1,MAP4K5,CAMK1D,FLT4,CDC2L6,ROCK1,FER,CAMK1,FYN,HIPK4,CDC2,PIM2,PDPK1,DCAMKL1,NEK2,CDK8,CDK7,FLT1,SLK,FGFR3,PLK1,GSK3B,CDK9,NTRK2,ERBB4,MARK2,PRKACA,MAPK12,CLK4
CHEMBL1965988,7943.28,794.33,,,5.012,5011.87,,,,,,,,,3.162,,,,,1258.93,3162.28,,,,630.96,1258.93,,316.23,,,1584.89,,,,501.19,,,6309.57,,158.49,,1584.89,19.95,,1584.89,,,,,1584.89,,,158.49,794.33,1258.93,,79.43,2511.89,3981.07,,3981.07,63.1,,,,,,,79.43,,,3162.28,1584.89,,25.12,6309.57,630.96,2511.89,50.12,79.43,1258.93,1000,5011.87,2511.89,398.11,,79.43,,1000,,1000,199.53,,630.96,,3162.28,,1584.89,,,,,398.11,,,,501.19,,,501.19,,,,2.512,,,,,,251.19,630.96,3981.07,7.943,,,199.53,,3981.07,,1000,3981.07,,,,1258.93,794.33,,,158.49,,,2.512,,,6.31,,5.012,,398.11,,1584.89,501.19,15.85,,,1000,,1000,,,0.3981,398.11,251.19,,3162.28,,79.43,,1000,,,5011.87
CHEMBL1966343,398.11,3162.28,7943.28,,,3981.07,,501.19,,,,,,,,,1584.89,,,,1000,,,,,158.49,,158.49,6309.57,125.89,,5011.87,,7943.28,,,,2511.89,,158.49,1258.93,1000,1995.26,,1258.93,,,,,1000,,12.59,,25.12,,,316.23,251.19,,,,,,,,50.12,,,,1584.89,,,2511.89,,,,316.23,1584.89,,,,,1258.93,5011.87,,158.49,,,1995.26,,794.33,1258.93,,,,2511.89,,,6309.57,158.49,,,,,,,,1258.93,,,,,,,,,,,,,1584.89,1584.89,1995.26,,1000,,,251.19,3162.28,,,,,,316.23,,5011.87,,1584.89,,,1584.89,,,7943.28,,,,501.19,,,,6309.57,251.19,,,5011.87,,,,,,,,1258.93,,,,398.11,1995.26,3981.07,12.59
CHEMBL1966425,7943.28,6309.57,3981.07,,,,,,,,,,,,,,6309.57,,,3162.28,,,,,1995.26,,,,3981.07,,1000,,,6309.57,,630.96,,3162.28,,3162.28,398.11,7943.28,630.96,,3981.07,,,,,501.19,,3981.07,1258.93,1000,1584.89,,316.23,1258.93,,,2511.89,,,1995.26,,,,,,,,5011.87,794.33,3981.07,,1258.93,,,,1584.89,,,7943.28,,3981.07,,,,,,,,,5011.87,,,,5011.87,1995.26,,,2511.89,,,,,1995.26,,,,,,,1995.26,,6309.57,6309.57,1258.93,,,6309.57,1258.93,,,7943.28,,,,,,2511.89,,1584.89,,1258.93,,,,1258.93,,,630.96,1258.93,,,,3981.07,,501.19,,,,2511.89,,199.53,,,6309.57,,,,5011.87,,,,,,,,,,794.33
CHEMBL1966628,630.96,63.1,,,100,5011.87,,3.162,,,,,,,,,50.12,,501.19,39.81,158.49,,100,,5.012,5.012,,251.19,25.12,100,100,,,630.96,,125.89,398.11,3.162,,,,25.12,501.19,,3.981,,,,,6.31,794.33,31.62,251.19,158.49,,,,,1000,100,251.19,,,794.33,,5.012,,,,2511.89,316.23,7943.28,,3981.07,3981.07,50.12,398.11,100,,,125.89,630.96,,,316.23,,,63.1,15.85,,50.12,398.11,,501.19,,1000,,,199.53,794.33,,158.49,,,,158.49,50.12,63.1,,,,,,63.1,,,1995.26,25.12,,,251.19,79.43,,,,,,50.12,1584.89,251.19,1995.26,1584.89,31.62,,6.31,,125.89,,125.89,,,1995.26,50.12,1258.93,25.12,,,,,1000,,,2511.89,6.31,501.19,1258.93,1000,,,3.981,,398.11,,,199.53,,,,,50.12,794.33,
CHEMBL1966703,7943.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.85,,,,,,,,,,,,316.23,,,,,,,2511.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7943.28,,,,,,,,,,,19.95,,,,,,,
CHEMBL1966722,199.53,3981.07,1258.93,,,1584.89,,5011.87,,,,,,,398.11,,1000,,,2511.89,1995.26,,,,630.96,1000,,,,,1584.89,794.33,,1584.89,,398.11,,,,794.33,,1995.26,1584.89,,3162.28,,1584.89,,,3162.28,,,,794.33,,,,2511.89,100,,794.33,794.33,251.19,1258.93,,1258.93,,,,1584.89,1995.26,1995.26,2511.89,1258.93,,,,,,,,,,,3162.28,1995.26,,,,,5011.87,,,,1584.89,,,2511.89,501.19,,,1995.26,,,,1584.89,794.33,79.43,,,,,,,,1584.89,,,,,,3162.28,,,794.33,,,,,,1995.26,794.33,,,1258.93,,,,,,,316.23,,1258.93,1258.93,,,1000,,,3981.07,,,,501.19,1584.89,,630.96,,,,,,1584.89,501.19,,,,3162.28,,,3162.28
CHEMBL1966816,7943.28,19.95,,,1258.93,,,,,,,,,,,,6309.57,,125.89,158.49,,,,,2511.89,39.81,,,,,,2511.89,,,,,,,,,,,,,,,,,,3981.07,,,,,,,,50.12,3981.07,,501.19,,,3162.28,,,,,,79.43,,,5011.87,,,,,,,,,,,,7943.28,,,,39.81,,1000,,,,,,,,3981.07,,,,,,,,6309.57,,,,,,,199.53,,6309.57,,,,,,,,,199.53,,,,,,,2511.89,,,,,,,,,,5011.87,,7943.28,,,398.11,,,,,,31.62,125.89,1258.93,,,,,,,,,,,,,,,,5011.87,12.59
CHEMBL1967116,6309.57,100,,,1.585,3981.07,,,,,,,,,,,,,,19.95,5011.87,,,,,2511.89,,63.1,,,,316.23,,,125.89,,,3981.07,,12.59,,3162.28,10,,,,,,,6309.57,,,1,,,,25.12,,,,3162.28,6.31,,,251.19,,,,1,,,,,3981.07,7.943,,125.89,1584.89,251.19,2.512,630.96,25.12,,125.89,100,,1.585,,794.33,,501.19,7.943,,63.1,251.19,,,100,,398.11,794.33,,25.12,,,,31.62,1000,,7.943,,,,1.259,,,,,,1.585,100,,3.162,,,19.95,,,,25.12,,,,,,39.81,,,630.96,,,,,,,,,,125.89,,,6.31,12.59,,,,,63.1,,,0.1995,19.95,15.85,,,,12.59,,158.49,,,
CHEMBL1968406,3981.07,3162.28,6309.57,,,6309.57,,794.33,,,,,,5.012,3.162,,6309.57,,25.12,,5011.87,,,,79.43,1000,,,,,3162.28,3162.28,,,,1000,,,,,19.95,,15.85,,,,316.23,,1584.89,2511.89,,,125.89,,,,158.49,7943.28,1995.26,,,501.19,,7943.28,,,,,,,,7943.28,,,1000,,,2511.89,,125.89,,,,6309.57,1995.26,,100,,,,1995.26,501.19,,,,,,2511.89,6309.57,,,,,,,,501.19,5011.87,,,,,,1.995,,,,,,,125.89,,31.62,,,19.95,,,,,5011.87,5011.87,,,,199.53,5011.87,,1000,,,50.12,,,794.33,,125.89,3981.07,316.23,1000,,,39.81,,,,,,,,6.31,7.943,,,1000,,50.12,,1000,,,199.53
CHEMBL1968705,5011.87,,1000,3162.28,,,3162.28,,,,,,,,,,,,,1584.89,,630.96,,,,,,,,1258.93,630.96,,,3162.28,,1584.89,,3162.28,,1995.26,,7943.28,,,3162.28,,,,,1584.89,,1584.89,,,1000,3981.07,25.12,1258.93,,,,,,6309.57,,,,,,5011.87,,7943.28,1000,7943.28,,,,,,,,,,,,,,,,,,,,,,,,,3981.07,,,3981.07,,,,,1584.89,,,,,,,,,,,,,,7943.28,3162.28,,,,,,501.19,,,,,1584.89,,,,,,,,,1000,,5011.87,1000,,,,158.49,,,,5011.87,,,,,,,,,6309.57,,,,,,,,,,398.11
CHEMBL1969506,1995.26,1584.89,,,,,,,,,,,,,,,,,,,,,,,,3162.28,,,,,,,,,,,1584.89,,,,,,,,,1000,,,,,,,,,,,199.53,,,,,,,,,,,,,,,,,,,,,,,,,,3162.28,,1995.26,,,,,,,,,,,,,6309.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6309.57,,,,100,,,,,,,5011.87,,,,,,,794.33,,,,,,,,,,,,,2511.89,,,2511.89,,,,,,,501.19
CHEMBL1969537,1258.93,794.33,,,,3981.07,,3981.07,,,,,,,,,3162.28,,,,,,,,199.53,,,,,,,398.11,,7943.28,,1258.93,,,,,,501.19,398.11,,1000,,,,1258.93,,,,,31.62,1584.89,,,,501.19,,25.12,,1584.89,1995.26,,794.33,,,,79.43,,,199.53,3162.28,2511.89,,,,501.19,,,,,,1584.89,251.19,630.96,,316.23,,,398.11,,,,,,1584.89,7.943,,,5011.87,,,,,1584.89,5011.87,,2511.89,,,,2511.89,,1584.89,,,,79.43,1258.93,,3162.28,,,,,1584.89,,,1995.26,,,,,,1258.93,,1584.89,,,1258.93,,1995.26,,,1000,,,,,100,1000,,31.62,,,,,,,1995.26,,398.11,316.23,,,,,,,
CHEMBL1969588,5011.87,,15.85,,158.49,1995.26,,3.981,,,,,,,,,19.95,,79.43,,6.31,,31.62,,,3.981,,31.62,,199.53,,,,1258.93,,3.981,,7.943,316.23,1995.26,199.53,251.19,79.43,,100,,,,,158.49,1258.93,158.49,63.1,63.1,,,10,19.95,3162.28,,158.49,,,6309.57,,,,,,1584.89,1995.26,,79.43,,316.23,199.53,7.943,15.85,15.85,,1995.26,251.19,2.512,,316.23,,50.12,199.53,63.1,,158.49,158.49,,,,630.96,,158.49,251.19,316.23,199.53,398.11,79.43,,1000,,,63.1,,,,,,39.81,,,7943.28,63.1,,501.19,158.49,1000,1000,,5.012,,,398.11,630.96,,,2511.89,,,79.43,,50.12,630.96,398.11,,,316.23,100,3981.07,,,,,25.12,125.89,,10,398.11,25.12,,,,,,25.12,199.53,10,,,10,100,501.19,1584.89,,19.95,199.53,
CHEMBL1970522,2511.89,1000,,,1584.89,5011.87,,25.12,,,,,,,,,2511.89,,,,630.96,,,,,501.19,,,,,794.33,3981.07,,,,,,,,1995.26,,2511.89,1995.26,,1995.26,,,,,7943.28,,501.19,,15.85,,,,,6309.57,,158.49,,,,,79.43,,,,31.62,,,1995.26,,,6309.57,,2511.89,,1584.89,3162.28,,,,,,,1000,1584.89,,,,,,,,,,158.49,,199.53,,,,,7943.28,,630.96,,,,,,794.33,,,,1000,,,1584.89,3981.07,7943.28,,,,,5011.87,,,,1995.26,,,,,1995.26,,,,,3162.28,5011.87,,,,,,6309.57,,,,5011.87,6309.57,158.49,,,,,,,,,,,,,,,,6309.57,31.62
CHEMBL1970903,1000,50.12,50.12,,,3981.07,,,,,,,,,794.33,,100,,,50.12,630.96,,630.96,,7.943,3.162,,,398.11,251.19,1000,,,6.31,,158.49,501.19,,,,,31.62,,,12.59,,,,,5.012,,125.89,,100,501.19,,7.943,50.12,1258.93,1584.89,7.943,,,2511.89,,12.59,,,,,1584.89,1258.93,15.85,,3162.28,2511.89,316.23,39.81,0.7943,1584.89,1995.26,,5.012,794.33,,794.33,,501.19,79.43,,398.11,,,3981.07,,1584.89,,,10,,,7.943,,,,125.89,25.12,794.33,,,316.23,,,316.23,,,,316.23,,,3981.07,100,3981.07,,63.1,,,50.12,316.23,19.95,1000,251.19,,,63.1,,251.19,,316.23,,,630.96,794.33,,63.1,,1584.89,,7.943,,,,501.19,50.12,6.31,1584.89,6309.57,,,,,,,,10,,,,158.49,5.012,1000,
CHEMBL1973098,125.89,1995.26,,,,7943.28,,6.31,,,,,,,,,1258.93,,,,630.96,,,,5011.87,125.89,,,,,,1258.93,,,,,,,,1995.26,,3981.07,3981.07,,5011.87,,,,,6309.57,,251.19,,39.81,,,,,,,39.81,,,,,100,,,,,,,2511.89,,,6309.57,,19.95,,,,,,,6309.57,,,,100,,,,,,,,,,7.943,,,7943.28,,,,1995.26,,10,,,,,,,,,,1584.89,,,398.11,2511.89,,,,,,3162.28,,5011.87,1258.93,316.23,,,,,3162.28,,,,,3162.28,,7943.28,,,,,,,,,1000,3981.07,25.12,,,,,,,,,3981.07,794.33,,,,,,,25.12
CHEMBL1973142,501.19,794.33,,,,2511.89,,100,,,,,,,,,,,,3981.07,,,1258.93,,,398.11,,794.33,,501.19,,,,,,,,6309.57,,3162.28,,1584.89,5011.87,,1584.89,,,,,1000,,125.89,,,,,251.19,1995.26,,,1584.89,,,,,501.19,,,,3981.07,,,2511.89,,3162.28,5011.87,,,,,,,630.96,3162.28,,630.96,,,251.19,,,,,1000,,,,,1258.93,,,,,,,,1995.26,1258.93,,,,,,1995.26,,,,1000,,,3981.07,1258.93,630.96,,3981.07,1258.93,,3981.07,,3162.28,,,,,,,6309.57,,,,,501.19,,,6309.57,,1584.89,,630.96,,,,,794.33,,,,,,,398.11,,,,5011.87,,,,,3981.07,,79.43
CHEMBL1973483,5011.87,3162.28,,,,,,,,,,,,,,,2511.89,,,6309.57,,,,,,,,,7943.28,,,,,,,1584.89,,,,,,7943.28,,,,,,,,3981.07,,,,,,,,,1584.89,,,,,3162.28,,,,,,,,6309.57,,,,,,,,,,,,,5011.87,,,,,,6309.57,,,,,,,3981.07,,,,,,,,5.012,,,,,,,,,,,,,,,,,3162.28,,,,,,,,,,,,,,,,,,,1995.26,,,,,,,,,,,1995.26,,,,,,,,,,,,7.943,,,,,,,158.49
CHEMBL1974094,3162.28,1584.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3162.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,
CHEMBL1974254,3981.07,63.1,7943.28,,2.512,,,,,,,,,,15.85,,,,50.12,31.62,,,2.512,,3162.28,,,,,,,5011.87,,,,,,,,125.89,,,251.19,,,,199.53,,,,,,1.585,1000,,,,,,,,10,,6309.57,,,,79.43,7.943,,,,,,31.62,,,,398.11,6.31,,,,10000,6309.57,,5.012,,,,,63.1,501.19,316.23,1000,,,,,,,,15.85,,,,158.49,,,31.62,,,,,,,,,,0.631,5011.87,,3.981,,,794.33,,,,199.53,,,,,1000,,,,,,,,10000,,,,,,398.11,19.95,,12.59,251.19,,1258.93,,,3981.07,,,0.2512,398.11,,,,,125.89,,6309.57,,,
CHEMBL1974310,630.96,1258.93,,,,7943.28,,1584.89,,,,,,,,,2511.89,,398.11,3981.07,1258.93,,,,2511.89,501.19,,,,,,398.11,1258.93,,794.33,1258.93,,7943.28,,1584.89,,2511.89,,,1584.89,,,,,1584.89,,2511.89,,630.96,501.19,,,501.19,,1584.89,1995.26,,,,,794.33,,,,5011.87,,,3162.28,,5011.87,1584.89,,794.33,,,3981.07,,6309.57,2511.89,,1584.89,,,398.11,,,,1584.89,,,,,794.33,5011.87,,,,,,,63.1,50.12,,,,,,,1995.26,,,,1258.93,,,1000,7943.28,1995.26,,251.19,,,3981.07,7943.28,,2511.89,,,,,,794.33,,794.33,,,3981.07,5011.87,,794.33,,,,,1584.89,,,316.23,1258.93,,,,,,,,251.19,1584.89,2511.89,79.43,,,,,3981.07,,158.49
CHEMBL1974328,10,50.12,1995.26,199.53,1000,3981.07,1258.93,,,501.19,125.89,,,,,10,2511.89,,10,125.89,501.19,398.11,,,398.11,1000,501.19,630.96,,,251.19,,,316.23,,794.33,,125.89,63.1,125.89,79.43,125.89,125.89,199.53,398.11,,,251.19,316.23,79.43,79.43,794.33,1995.26,100,100,,25.12,100,,,1995.26,,,3981.07,,63.1,,2511.89,,5011.87,10,3981.07,398.11,,3162.28,1000,1000,1000,1000,,,1258.93,501.19,,1584.89,6.31,125.89,79.43,794.33,158.49,251.19,,,,,,,,10,1258.93,,63.1,158.49,,,2511.89,19.95,3981.07,,1000,,794.33,398.11,,,,1258.93,,15.85,251.19,398.11,,398.11,,316.23,,199.53,,1258.93,100,1000,,3162.28,794.33,,316.23,63.1,1995.26,,1258.93,12.59,,50.12,,19.95,,,,63.1,3.162,630.96,630.96,5011.87,3981.07,100,39.81,,,3162.28,158.49,,5.012,,,,,2511.89,,,158.49,,79.43
CHEMBL1974803,316.23,,7943.28,,,,,794.33,,,,,3162.28,,,,,,,,,,1258.93,,7943.28,6309.57,,,,,,3162.28,,3981.07,,,,,,1995.26,,,,,1258.93,1584.89,,,,,,3162.28,,,,,,5011.87,6309.57,,1000,,,,,,,,,3981.07,,7943.28,1258.93,3162.28,,,,,,,,,,,7943.28,,,,1258.93,,,,,,,,,2511.89,1258.93,,,,,,,,1584.89,5011.87,,,,,,,,,,,,,1584.89,1584.89,,,7943.28,,,,,1584.89,2511.89,6309.57,,,,,1584.89,,,,,,,3162.28,2511.89,,,3162.28,,,3981.07,,1258.93,,,,,,,,,,,3162.28,3162.28,,,,,,,398.11
