Molecule,y1_true,y1_pred,y1_pred_stdev,y1_pred_res,y1_pred_freq,y1_recalc,y1_recalc_stdev,y1_recalc_res,y1_recalc_freq
CMPLOGP00001841,1.7300,3.5197,0.2807,-1.7897,5,1.8443,0.0234,-0.1143,17
CMPLOGP00004350,4.2000,3.4047,0.1679,0.7953,5,4.1144,0.0455,0.0856,17
CMPLOGP00002836,2.6200,2.4990,0.4566,0.1210,5,2.6763,0.0768,-0.0563,15
CMPLOGP00003234,3.0000,1.6533,0.2174,1.3467,5,2.9570,0.0265,0.0430,15
CMPLOGP00000023,-2.7900,0.2320,0.0814,-3.0220,5,-2.5888,0.0383,-0.2012,16
CMPLOGP00000159,-0.9600,-1.2663,0.2881,0.3063,5,-0.9944,0.0348,0.0344,15
CMPLOGP00002016,1.8930,0.8889,0.5680,1.0041,5,1.9239,0.0139,-0.0309,13
CMPLOGP00004456,4.3900,4.4790,0.0224,-0.0890,5,4.4234,0.0345,-0.0334,16
CMPLOGP00000266,-0.5100,0.2508,0.2034,-0.7608,5,-0.4246,0.0532,-0.0854,13
CMPLOGP00003868,3.6100,3.9417,0.1897,-0.3317,5,3.6330,0.0321,-0.0230,16
CMPLOGP00000713,0.3500,0.9510,0.1315,-0.6010,5,0.4314,0.0378,-0.0814,18
CMPLOGP00000314,-0.3700,0.3418,0.1241,-0.7118,5,-0.3325,0.0306,-0.0375,18
CMPLOGP00004153,3.9600,3.5244,0.1353,0.4356,5,3.8766,0.0347,0.0834,13
CMPLOGP00001279,1.1500,0.7827,0.1311,0.3673,5,1.0679,0.0480,0.0821,18
CMPLOGP00004388,4.2800,3.9946,0.1781,0.2854,5,4.2413,0.0301,0.0387,18
CMPLOGP00005383,6.7200,6.9410,0.1175,-0.2210,5,6.7889,0.0556,-0.0689,17
CMPLOGP00000213,-0.7000,-0.6957,0.8148,-0.0043,5,-0.6940,0.0999,-0.0060,16
CMPLOGP00003307,3.1000,3.0776,0.0842,0.0224,5,3.0470,0.0429,0.0530,18
CMPLOGP00004825,5.0000,5.0887,0.1355,-0.0887,5,5.0033,0.0416,-0.0033,18
CMPLOGP00001421,1.3100,-0.0117,0.3964,1.3217,5,1.2518,0.0236,0.0582,15
CMPLOGP00000532,0.0700,0.4884,0.1237,-0.4184,5,0.1218,0.0562,-0.0518,18
CMPLOGP00000260,-0.5300,1.2513,0.4172,-1.7813,5,-0.3645,0.0381,-0.1655,16
CMPLOGP00000976,0.7790,0.7684,0.1986,0.0106,5,0.8017,0.0392,-0.0227,18
CMPLOGP00003591,3.3600,3.0026,0.0720,0.3574,5,3.2647,0.0639,0.0953,16
CMPLOGP00003779,3.5000,3.5763,0.0917,-0.0763,5,3.5817,0.0435,-0.0817,15
CMPLOGP00000618,0.2000,0.9328,0.2665,-0.7328,5,0.3099,0.0480,-0.1099,15
CMPLOGP00001143,1.0000,1.2340,0.1410,-0.2340,5,1.0358,0.0437,-0.0358,14
CMPLOGP00003498,3.2800,3.4612,0.1378,-0.1812,5,3.3551,0.0503,-0.0751,15
CMPLOGP00004259,4.0900,4.6444,0.0733,-0.5544,5,4.1627,0.0614,-0.0727,20
CMPLOGP00001898,1.7800,1.9911,0.2770,-0.2111,5,1.7703,0.0600,0.0097,14
CMPLOGP00003577,3.3500,3.2876,0.2034,0.0624,5,3.3474,0.0618,0.0026,16
CMPLOGP00004956,5.3000,5.3421,0.1617,-0.0421,5,5.3315,0.0407,-0.0315,19
CMPLOGP00003979,3.7500,4.0060,0.1026,-0.2560,5,3.7991,0.0497,-0.0491,16
CMPLOGP00001378,1.2700,1.9054,0.2001,-0.6354,5,1.3278,0.0425,-0.0578,14
CMPLOGP00004924,5.2300,5.4898,0.1534,-0.2598,5,5.3287,0.0379,-0.0987,17
CMPLOGP00002912,2.7000,3.8047,0.2577,-1.1047,5,2.8728,0.0579,-0.1728,16
CMPLOGP00005595,8.7900,8.7257,0.2480,0.0643,5,8.7962,0.0548,-0.0062,13
CMPLOGP00002154,2.0100,1.9850,0.0860,0.0250,5,1.9915,0.0340,0.0185,17
CMPLOGP00000524,0.0560,-0.3262,0.1454,0.3822,5,0.0010,0.0413,0.0550,20
CMPLOGP00002038,1.9100,1.6199,0.0844,0.2901,5,1.8575,0.0336,0.0525,15
CMPLOGP00005228,6.0700,6.1460,0.0587,-0.0760,5,6.0617,0.0389,0.0083,14
CMPLOGP00001962,1.8400,2.0202,0.1061,-0.1802,5,1.8398,0.0432,0.0002,15
CMPLOGP00003623,3.4000,3.0736,0.0869,0.3264,5,3.2607,0.0307,0.1393,16
CMPLOGP00000703,0.3410,1.5464,0.3999,-1.2054,5,0.4981,0.0605,-0.1571,16
CMPLOGP00003822,3.5700,2.8729,0.1578,0.6971,5,3.4389,0.0783,0.1311,17
CMPLOGP00004753,4.8600,3.1262,0.0845,1.7338,5,4.7943,0.0411,0.0657,16
CMPLOGP00002165,2.0200,3.3124,0.2648,-1.2924,5,2.1200,0.0404,-0.1000,16
CMPLOGP00001776,1.6800,1.7773,0.3021,-0.0973,5,1.6748,0.0450,0.0052,15
CMPLOGP00002994,2.7800,2.6517,0.1023,0.1283,5,2.7728,0.0443,0.0072,17
CMPLOGP00001506,1.4200,1.6477,0.1283,-0.2277,5,1.4800,0.0456,-0.0600,16
CMPLOGP00004141,3.9500,4.6957,0.2181,-0.7457,5,4.0445,0.0670,-0.0945,16
CMPLOGP00003126,2.9000,2.9660,0.1306,-0.0660,5,2.9157,0.0392,-0.0157,16
CMPLOGP00002540,2.3800,2.4756,0.1320,-0.0956,5,2.4351,0.0297,-0.0551,15
CMPLOGP00003101,2.8900,1.6957,0.4284,1.1943,5,2.8755,0.0177,0.0145,16
CMPLOGP00005474,7.3300,6.4745,0.2744,0.8555,5,7.2503,0.0476,0.0797,16
CMPLOGP00004375,4.2500,4.0232,0.1217,0.2268,5,4.2052,0.0430,0.0448,16
CMPLOGP00001203,1.0700,1.1982,0.1329,-0.1282,5,1.0270,0.0416,0.0430,18
CMPLOGP00002976,2.7600,2.4025,0.2202,0.3575,5,2.6550,0.0556,0.1050,16
CMPLOGP00001190,1.0500,1.4385,0.0839,-0.3885,5,1.1101,0.0713,-0.0601,16
CMPLOGP00000593,0.1600,0.4639,0.2001,-0.3039,5,0.1715,0.0391,-0.0115,13
CMPLOGP00001840,1.7300,1.1723,0.1621,0.5577,5,1.5831,0.0621,0.1469,16
CMPLOGP00000588,0.1560,1.3642,0.2529,-1.2082,5,0.4262,0.0430,-0.2702,11
CMPLOGP00000702,0.3400,1.3121,0.1909,-0.9721,5,0.3886,0.0300,-0.0486,15
CMPLOGP00004342,4.2000,5.4809,0.3813,-1.2809,5,4.2949,0.0365,-0.0949,20
CMPLOGP00004965,5.3100,5.0033,0.0901,0.3067,5,5.3348,0.0415,-0.0248,10
CMPLOGP00003703,3.4500,3.0931,0.1617,0.3569,5,3.3989,0.0475,0.0511,15
CMPLOGP00002558,2.4000,1.9708,0.1513,0.4292,5,2.3540,0.0411,0.0460,17
CMPLOGP00001937,1.8200,3.1412,0.1946,-1.3212,5,1.8978,0.0321,-0.0778,16
CMPLOGP00004414,4.3000,4.3502,0.2295,-0.0502,5,4.3092,0.0406,-0.0092,14
CMPLOGP00001880,1.7700,1.9447,0.1962,-0.1747,5,1.7579,0.0295,0.0121,18
CMPLOGP00002240,2.0900,1.8096,0.0758,0.2804,5,2.0504,0.0684,0.0396,18
CMPLOGP00005069,5.6100,4.2366,0.3818,1.3734,5,5.5451,0.0366,0.0649,17
CMPLOGP00001763,1.6700,1.7859,0.1807,-0.1159,5,1.6685,0.0518,0.0015,18
CMPLOGP00001881,1.7700,0.7358,0.3470,1.0342,5,1.6384,0.0531,0.1316,17
CMPLOGP00004536,4.4900,4.2756,0.1850,0.2144,5,4.3811,0.0373,0.1089,17
CMPLOGP00003550,3.3000,3.6371,0.1590,-0.3371,5,3.3470,0.0234,-0.0470,17
CMPLOGP00004858,5.0600,5.2444,0.1267,-0.1844,5,5.1344,0.0405,-0.0744,16
CMPLOGP00000989,0.8000,1.3985,0.1942,-0.5985,5,0.8708,0.0535,-0.0708,17
CMPLOGP00001472,1.3800,1.9038,0.2169,-0.5238,5,1.5193,0.0555,-0.1393,14
CMPLOGP00003935,3.7000,3.5986,0.0992,0.1014,5,3.6786,0.0711,0.0214,15
CMPLOGP00001934,1.8100,1.7999,0.2320,0.0101,5,1.7702,0.0555,0.0398,11
CMPLOGP00003353,3.1200,2.7442,0.4504,0.3758,5,3.1199,0.0293,0.0001,16
CMPLOGP00005236,6.1000,5.8912,0.0698,0.2088,5,6.0725,0.0618,0.0275,18
CMPLOGP00004421,4.3200,4.2671,0.3229,0.0529,5,4.3630,0.0416,-0.0430,16
CMPLOGP00005346,6.5600,6.4066,0.3313,0.1534,5,6.6131,0.0490,-0.0531,16
CMPLOGP00001263,1.1300,1.9295,0.2813,-0.7995,5,1.2458,0.0651,-0.1158,14
CMPLOGP00003998,3.7800,4.2339,0.1364,-0.4539,5,3.8591,0.0551,-0.0791,17
CMPLOGP00003733,3.4800,3.5619,0.0959,-0.0819,5,3.5153,0.0439,-0.0353,15
CMPLOGP00004336,4.2000,4.2977,0.0994,-0.0977,5,4.2269,0.0479,-0.0269,17
CMPLOGP00001107,0.9500,1.1657,0.1207,-0.2157,5,0.9747,0.0350,-0.0247,15
CMPLOGP00005311,6.4000,6.7223,0.1935,-0.3223,5,6.3995,0.0197,0.0005,19
CMPLOGP00004058,3.8500,4.0063,0.1351,-0.1563,5,3.8611,0.0401,-0.0111,16
CMPLOGP00002403,2.2600,2.0221,0.1495,0.2379,5,2.2190,0.0803,0.0410,9
CMPLOGP00003348,3.1200,3.1629,0.1833,-0.0429,5,3.1400,0.0435,-0.0200,14
CMPLOGP00005467,7.3000,5.2928,0.1690,2.0072,5,7.2194,0.0283,0.0806,15
CMPLOGP00000746,0.4100,0.0928,0.0754,0.3172,5,0.3541,0.0269,0.0559,16
CMPLOGP00001493,1.4000,1.6377,0.1614,-0.2377,5,1.4770,0.0366,-0.0770,16
CMPLOGP00001683,1.5900,2.3202,0.2309,-0.7302,5,1.6385,0.0392,-0.0485,13
CMPLOGP00003824,3.5700,3.1331,0.2381,0.4369,5,3.5747,0.0320,-0.0047,15
CMPLOGP00002488,2.3300,1.9000,0.2583,0.4300,5,2.1916,0.0813,0.1384,14
CMPLOGP00004606,4.6000,4.6980,0.1921,-0.0980,5,4.6402,0.0551,-0.0402,18
CMPLOGP00000184,-0.8540,-0.6808,0.0834,-0.1732,5,-0.8335,0.0471,-0.0205,15
CMPLOGP00000913,0.6700,1.5088,0.2610,-0.8388,5,0.7393,0.0313,-0.0693,14
CMPLOGP00002081,1.9520,2.1806,0.4655,-0.2286,5,1.9553,0.0287,-0.0033,17
CMPLOGP00004415,4.3000,4.2527,0.0612,0.0473,5,4.2922,0.0375,0.0078,18
CMPLOGP00001519,1.4300,1.6394,0.0573,-0.2094,5,1.4696,0.0360,-0.0396,18
CMPLOGP00003428,3.2000,5.5047,0.2497,-2.3047,5,3.3249,0.0287,-0.1249,14
CMPLOGP00001197,1.0600,0.8481,0.0826,0.2119,5,1.0151,0.0799,0.0449,19
CMPLOGP00003640,3.4000,3.3413,0.1863,0.0587,5,3.3320,0.0379,0.0680,17
CMPLOGP00004258,4.0900,2.6273,0.4804,1.4627,5,4.0687,0.0373,0.0213,13
CMPLOGP00004808,4.9700,4.9081,0.0891,0.0619,5,4.9682,0.0682,0.0018,18
CMPLOGP00002687,2.5000,2.6960,0.0919,-0.1960,5,2.5446,0.0380,-0.0446,17
CMPLOGP00003593,3.3600,4.5361,0.3835,-1.1761,5,3.3792,0.0408,-0.0192,19
CMPLOGP00001158,1.0200,1.7024,0.2845,-0.6824,5,1.1065,0.0467,-0.0865,17
CMPLOGP00003354,3.1200,3.4209,0.1949,-0.3009,5,3.1335,0.0244,-0.0135,16
CMPLOGP00002957,2.7400,2.4934,0.1146,0.2466,5,2.6423,0.0550,0.0977,18
CMPLOGP00001292,1.1700,1.2337,0.2176,-0.0637,5,1.1737,0.0369,-0.0037,19
CMPLOGP00002041,1.9100,2.2759,0.0849,-0.3659,5,1.9565,0.0243,-0.0465,18
CMPLOGP00004475,4.4000,1.4207,0.5679,2.9793,5,4.0565,0.0678,0.3435,15
CMPLOGP00001142,1.0000,1.7031,0.2831,-0.7031,5,1.0839,0.0678,-0.0839,16
CMPLOGP00002508,2.3400,2.2738,0.5748,0.0662,5,2.2440,0.0708,0.0960,11
CMPLOGP00003651,3.4000,2.9759,0.0979,0.4241,5,3.3441,0.0460,0.0559,18
CMPLOGP00000776,0.4600,0.4911,0.1016,-0.0311,5,0.4652,0.0320,-0.0052,14
CMPLOGP00004599,4.6000,4.9454,0.0939,-0.3454,5,4.7020,0.0555,-0.1020,15
CMPLOGP00001603,1.5000,1.7898,0.0872,-0.2898,5,1.4882,0.0499,0.0118,15
CMPLOGP00002840,2.6300,2.6870,0.2038,-0.0570,5,2.6238,0.0395,0.0062,19
CMPLOGP00003939,3.7000,3.6592,0.1637,0.0408,5,3.6646,0.0327,0.0354,17
CMPLOGP00002199,2.0600,3.3090,0.1411,-1.2490,5,2.1311,0.0169,-0.0711,19
CMPLOGP00003481,3.2600,2.8711,0.1010,0.3889,5,3.1233,0.0376,0.1367,16
CMPLOGP00001707,1.6100,2.1702,0.0987,-0.5602,5,1.6917,0.0453,-0.0817,18
CMPLOGP00002800,2.6000,2.7698,0.1899,-0.1698,5,2.6384,0.0359,-0.0384,15
CMPLOGP00001391,1.2800,1.3098,0.1572,-0.0298,5,1.2482,0.0548,0.0318,16
CMPLOGP00005526,7.7300,3.8818,0.5442,3.8482,5,7.5793,0.0522,0.1507,16
CMPLOGP00004725,4.8000,4.6471,0.1818,0.1529,5,4.7578,0.0684,0.0422,18
CMPLOGP00001813,1.7000,2.7544,0.2380,-1.0544,5,1.8526,0.0404,-0.1526,17
CMPLOGP00003544,3.3000,3.9368,0.3273,-0.6368,5,3.4038,0.0608,-0.1038,14
CMPLOGP00004515,4.4600,4.8540,0.2893,-0.3940,5,4.4664,0.0313,-0.0064,17
CMPLOGP00000667,0.3000,0.6927,0.2206,-0.3927,5,0.3365,0.0497,-0.0365,13
CMPLOGP00003687,3.4300,3.6686,0.0761,-0.2386,5,3.5505,0.0474,-0.1205,19
CMPLOGP00000050,-2.0000,-0.7430,0.3552,-1.2570,5,-1.9920,0.0198,-0.0080,18
CMPLOGP00000273,-0.4800,0.2450,0.3649,-0.7250,5,-0.4124,0.0842,-0.0676,17
CMPLOGP00004280,4.1000,4.1636,0.1291,-0.0636,5,4.1590,0.0576,-0.0590,15
CMPLOGP00000721,0.3600,0.6049,0.1264,-0.2449,5,0.3916,0.0369,-0.0316,17
CMPLOGP00005248,6.1100,4.5563,0.1975,1.5537,5,5.9405,0.0336,0.1695,17
CMPLOGP00001666,1.5800,1.3785,0.1078,0.2015,5,1.4950,0.0508,0.0850,13
CMPLOGP00001261,1.1300,1.1211,0.0876,0.0089,5,1.1247,0.0513,0.0053,16
CMPLOGP00002019,1.9000,1.9671,0.1800,-0.0671,5,1.9331,0.0475,-0.0331,14
CMPLOGP00002533,2.3700,2.2405,0.1034,0.1295,5,2.3129,0.0455,0.0571,17
CMPLOGP00000556,0.1100,0.0181,0.1842,0.0919,5,0.0841,0.0632,0.0259,17
CMPLOGP00005510,7.5900,6.6931,0.3243,0.8969,5,7.5205,0.0389,0.0695,15
CMPLOGP00000071,-1.7400,-2.1868,0.2314,0.4468,5,-1.7503,0.0486,0.0103,17
CMPLOGP00003592,3.3600,3.5019,0.0484,-0.1419,5,3.3745,0.0350,-0.0145,17
CMPLOGP00004157,3.9700,3.9501,0.0683,0.0199,5,3.9613,0.0403,0.0087,17
CMPLOGP00001262,1.1300,1.2137,0.1220,-0.0837,5,1.1474,0.0471,-0.0174,10
CMPLOGP00001948,1.8300,1.8682,0.1564,-0.0382,5,1.8403,0.0423,-0.0103,15
CMPLOGP00004649,4.6900,4.5598,0.0959,0.1302,5,4.6096,0.0499,0.0804,15
CMPLOGP00004235,4.0400,3.5218,0.2075,0.5182,5,3.9890,0.0287,0.0510,18
CMPLOGP00001066,0.9000,0.8803,0.1326,0.0197,5,0.9139,0.0444,-0.0139,18
CMPLOGP00003272,3.0500,3.1319,0.0518,-0.0819,5,3.0871,0.0353,-0.0371,17
CMPLOGP00001529,1.4400,1.3814,0.7514,0.0586,5,1.4839,0.0787,-0.0439,18
CMPLOGP00001200,1.0700,1.0119,0.1158,0.0581,5,1.1055,0.0367,-0.0355,18
CMPLOGP00001967,1.8400,1.2352,0.2048,0.6048,5,1.7330,0.0450,0.1070,17
CMPLOGP00000189,-0.8070,-1.0667,0.2487,0.2597,5,-0.8175,0.0212,0.0105,15
CMPLOGP00004868,5.0700,5.3270,0.0883,-0.2570,5,5.1316,0.0290,-0.0616,16
CMPLOGP00000281,-0.4600,0.0962,0.1820,-0.5562,5,-0.3641,0.0500,-0.0959,17
CMPLOGP00001597,1.5000,1.9938,0.2149,-0.4938,5,1.6402,0.0408,-0.1402,14
CMPLOGP00001793,1.7000,1.8549,0.1110,-0.1549,5,1.7315,0.0411,-0.0315,16
CMPLOGP00001671,1.5800,2.5292,0.2728,-0.9492,5,1.6253,0.0379,-0.0453,15
CMPLOGP00002539,2.3800,2.1096,0.0262,0.2704,5,2.3197,0.0428,0.0603,17
CMPLOGP00001634,1.5400,1.4480,0.1537,0.0920,5,1.5182,0.0493,0.0218,18
CMPLOGP00005265,6.2000,6.0236,0.2098,0.1764,5,6.1724,0.0416,0.0276,16
CMPLOGP00003829,3.5770,3.4197,0.2861,0.1573,5,3.5995,0.0476,-0.0225,16
CMPLOGP00000722,0.3700,0.5992,0.2387,-0.2292,5,0.3968,0.0246,-0.0268,15
CMPLOGP00001021,0.8400,0.9314,0.1062,-0.0914,5,0.8240,0.0364,0.0160,17
CMPLOGP00003995,3.7700,3.2616,0.0977,0.5084,5,3.6798,0.0452,0.0902,13
CMPLOGP00003708,3.4500,3.8674,0.1849,-0.4174,5,3.5122,0.0401,-0.0622,18
CMPLOGP00000070,-1.7400,-1.5079,0.3819,-0.2321,5,-1.7466,0.0280,0.0066,18
CMPLOGP00000605,0.1800,1.1095,0.2625,-0.9295,5,0.2341,0.0805,-0.0541,19
CMPLOGP00001848,1.7350,0.1139,0.3245,1.6211,5,1.7023,0.0174,0.0327,17
CMPLOGP00002172,2.0200,2.2490,0.1384,-0.2290,5,2.0454,0.0318,-0.0254,16
CMPLOGP00003042,2.8200,2.7104,0.1205,0.1096,5,2.8067,0.0210,0.0133,15
CMPLOGP00005471,7.3200,6.9981,0.1114,0.3219,5,7.2975,0.0460,0.0225,13
CMPLOGP00001911,1.8000,2.4226,0.1132,-0.6226,5,1.9659,0.0295,-0.1659,18
CMPLOGP00002100,1.9700,1.7960,0.0838,0.1740,5,1.9452,0.0318,0.0248,15
CMPLOGP00000053,-2.0000,0.5715,0.9038,-2.5715,5,-1.8739,0.0690,-0.1261,17
CMPLOGP00002267,2.1100,2.1199,0.2263,-0.0099,5,2.1088,0.0387,0.0012,17
CMPLOGP00001679,1.5900,1.6293,0.0846,-0.0393,5,1.6099,0.0489,-0.0199,13
CMPLOGP00000098,-1.3800,-1.0516,0.2936,-0.3284,5,-1.3399,0.0375,-0.0401,17
CMPLOGP00002499,2.3400,2.7847,0.4317,-0.4447,5,2.3616,0.0326,-0.0216,18
CMPLOGP00005323,6.4500,6.4161,0.1448,0.0339,5,6.4998,0.0353,-0.0498,15
CMPLOGP00004915,5.2000,5.4094,0.0714,-0.2094,5,5.2630,0.0386,-0.0630,16
CMPLOGP00005356,6.6000,6.4064,0.1101,0.1936,5,6.5173,0.0408,0.0827,14
CMPLOGP00005544,7.9000,7.2663,0.2641,0.6337,5,7.9089,0.0224,-0.0089,16
CMPLOGP00005380,6.7000,6.3484,0.2952,0.3516,5,6.6570,0.0342,0.0430,15
CMPLOGP00002414,2.2600,2.6029,0.1799,-0.3429,5,2.3632,0.0618,-0.1032,16
CMPLOGP00003996,3.7800,3.3844,0.0868,0.3956,5,3.7122,0.0499,0.0678,18
CMPLOGP00004734,4.8100,4.6265,0.2682,0.1835,5,4.8132,0.0271,-0.0032,16
CMPLOGP00000569,0.1300,0.1440,0.1557,-0.0140,5,0.1771,0.0396,-0.0471,16
CMPLOGP00004917,5.2000,4.6895,0.3039,0.5105,5,5.1780,0.0336,0.0220,15
CMPLOGP00002137,2.0000,0.6304,0.2252,1.3696,5,2.0038,0.0240,-0.0038,14
CMPLOGP00001836,1.7300,1.8508,0.0560,-0.1208,5,1.7821,0.0453,-0.0521,16
CMPLOGP00000034,-2.3700,-1.3258,0.1906,-1.0442,5,-2.3496,0.0439,-0.0204,17
CMPLOGP00003536,3.3000,2.9783,0.2401,0.3217,5,3.2852,0.0286,0.0148,19
CMPLOGP00000270,-0.4900,-0.3460,0.3502,-0.1440,5,-0.4705,0.0355,-0.0195,17
CMPLOGP00002714,2.5100,3.3953,0.2973,-0.8853,5,2.5142,0.0324,-0.0042,15
CMPLOGP00005353,6.5900,6.6102,0.1206,-0.0202,5,6.6178,0.0349,-0.0278,17
