Molecule,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR
SM35,11.347586,-3.254895,11.347586,0.423515,0.865544,287.406000,270.270000,287.064985,100.000000,1.277778,1.888889,2.388889,13.225768,10.256420,11.889413,8.386359,5.764620,9.144065,4.868658,8.074116,3.011516,5.564442,2.249923,5.046738,-0.720000,13.705666,5.107547,3.634441,110.300117,0.000000,0.000000,0.000000,10.023291,0.000000,0.000000,4.208898,13.139892,0.000000,0.000000,30.331835,18.405095,22.305276,11.794694,12.626695,20.822860,0.000000,4.722095,0.000000,18.380568,17.761476,35.895287,0.000000,63.240000,26.361785,12.626695,0.000000,17.926529,12.676591,5.563451,0.000000,30.331835,4.722095,0.000000,36.632479,0.000000,0.000000,0.000000,0.665496,0.847031,9.912525,2.633821,0.000000,-4.135796,0.500000,18.000000,1.000000,4.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,3.000000,1.000000,6.000000,5.000000,0.000000,1.000000,1.000000,2.000000,0.669500,73.349900
SM36,12.548512,-3.591053,12.548512,0.247008,0.868584,349.477000,330.325000,349.080635,122.000000,0.956522,1.521739,2.086957,16.338653,12.643171,14.276164,10.991530,7.471179,10.442376,5.912982,9.052387,4.013991,7.357623,2.800243,6.013843,-1.500000,16.361023,6.549149,3.884360,138.992269,0.000000,0.000000,0.000000,10.023291,0.000000,0.000000,4.208898,13.139892,0.000000,0.000000,48.530937,30.537829,22.305276,10.434409,12.626695,20.822860,0.000000,4.722095,0.000000,23.276052,11.505707,66.227122,0.000000,63.240000,26.361785,12.626695,4.895483,17.926529,11.984273,0.000000,30.331835,30.331835,4.722095,0.000000,39.524266,0.000000,0.247008,0.000000,0.554179,0.761701,18.256505,1.406911,0.000000,-4.528348,0.294118,23.000000,1.000000,4.000000,0.000000,1.000000,1.000000,2.000000,0.000000,2.000000,3.000000,1.000000,6.000000,6.000000,0.000000,1.000000,1.000000,3.000000,2.098800,92.133900
SM37,11.972586,-3.495636,11.972586,0.395738,0.831743,316.448000,296.288000,316.091534,112.000000,1.250000,1.850000,2.350000,14.803119,11.703634,13.336627,9.329734,6.433373,9.361470,5.383921,8.725477,3.435814,6.837336,2.221528,4.961554,-0.760000,15.625493,5.928377,3.661319,122.560270,0.000000,0.000000,0.000000,0.000000,10.209329,0.000000,4.208898,0.000000,17.445108,0.000000,30.331835,18.405095,36.400620,5.538925,12.626695,21.008898,0.000000,9.027311,0.000000,18.380568,25.601051,35.895287,0.000000,66.480000,26.547823,12.626695,0.000000,17.926529,16.289489,14.095344,0.000000,30.331835,4.722095,0.000000,39.252526,0.000000,0.000000,0.000000,0.595080,0.791475,9.912525,1.434337,0.000000,-1.430388,0.538462,20.000000,1.000000,5.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,3.000000,1.000000,7.000000,6.000000,0.000000,1.000000,1.000000,2.000000,0.516300,81.112900
SM38,11.364781,-3.411655,11.364781,0.111207,0.850152,303.405000,286.269000,303.059900,106.000000,1.210526,1.789474,2.263158,14.148418,10.664668,12.297661,8.699619,5.931287,9.644065,5.172401,8.985347,3.129367,5.917995,2.475515,5.723515,-0.920000,14.488300,4.880949,4.020949,113.551261,0.000000,0.000000,9.837253,10.023291,0.000000,0.000000,0.000000,21.557689,0.000000,0.000000,30.331835,18.405095,0.000000,23.300402,16.835594,19.860544,0.000000,4.722095,0.000000,18.380568,17.761476,35.895287,0.000000,80.310000,25.399470,16.835594,11.505707,12.841643,11.819221,0.000000,0.000000,30.331835,4.722095,0.000000,47.929721,0.000000,0.000000,0.000000,0.239716,-0.222414,9.608611,2.198809,0.000000,-6.504444,0.500000,19.000000,1.000000,5.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,4.000000,1.000000,7.000000,5.000000,0.000000,1.000000,1.000000,2.000000,0.335600,74.127300
SM39,12.556999,-3.747812,12.556999,0.146652,0.845896,365.476000,346.324000,365.075550,128.000000,0.916667,1.458333,2.000000,17.261302,13.051420,14.684413,11.304790,7.637846,10.942376,6.216725,9.963618,4.131843,7.711176,3.025835,6.690620,-1.700000,17.133714,6.308905,3.853037,142.243413,0.000000,0.000000,9.837253,10.023291,0.000000,0.000000,0.000000,21.557689,0.000000,0.000000,48.530937,30.537829,0.000000,21.940116,16.835594,19.860544,0.000000,4.722095,0.000000,23.276052,11.505707,66.227122,0.000000,80.310000,25.399470,16.835594,16.401191,12.841643,5.563451,12.132734,18.199101,30.331835,4.722095,0.000000,51.158018,0.000000,0.146652,0.000000,0.128399,-0.307744,17.648677,1.065453,0.000000,-6.922788,0.294118,24.000000,1.000000,5.000000,0.000000,1.000000,1.000000,2.000000,0.000000,2.000000,4.000000,1.000000,7.000000,6.000000,0.000000,1.000000,1.000000,3.000000,1.764900,92.911300
SM40,11.981073,-3.652395,11.981073,0.138985,0.805522,332.447000,312.287000,332.086449,118.000000,1.190476,1.761905,2.238095,15.725768,12.111882,13.744875,9.642994,6.600040,9.861470,5.687664,9.636708,3.553665,7.190889,2.447120,5.638331,-0.960000,16.411192,5.676229,4.029621,125.811414,0.000000,0.000000,9.837253,0.000000,10.209329,0.000000,0.000000,8.417797,17.445108,0.000000,30.331835,18.405095,14.095344,17.044632,16.835594,20.046582,0.000000,9.027311,0.000000,18.380568,25.601051,35.895287,0.000000,83.550000,25.585508,16.835594,11.505707,12.841643,9.868667,14.095344,0.000000,30.331835,4.722095,0.000000,50.612465,0.000000,0.000000,0.000000,0.169299,-0.277969,9.608611,1.092879,0.000000,-3.955285,0.538462,21.000000,1.000000,6.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,4.000000,1.000000,8.000000,6.000000,0.000000,1.000000,1.000000,2.000000,0.182400,81.890300
SM41,10.953643,-3.318530,10.953643,0.181808,0.883123,238.268000,228.188000,238.041213,84.000000,1.250000,1.937500,2.562500,11.596012,8.544308,9.360805,7.544625,4.544045,6.435456,3.316656,5.065111,1.858424,2.438353,1.251731,1.727823,-1.820000,10.689651,3.974540,2.603864,93.129411,4.523095,0.000000,11.578110,10.023291,0.000000,0.000000,4.722095,8.417797,0.000000,0.000000,35.488499,0.000000,11.629819,6.255769,12.940892,15.841154,0.000000,5.156663,0.000000,0.000000,10.977864,36.398202,11.323699,72.200000,10.023291,8.417797,5.817863,5.760247,11.819221,6.066367,0.000000,30.331835,9.878758,4.523095,29.165553,0.000000,0.000000,3.612654,0.844029,0.701947,10.851619,1.059395,0.000000,-3.318530,0.100000,16.000000,1.000000,5.000000,0.000000,0.000000,0.000000,1.000000,1.000000,2.000000,4.000000,1.000000,6.000000,3.000000,0.000000,0.000000,0.000000,2.000000,1.713100,60.405500
SM42,12.154569,-3.654687,12.154569,0.150654,0.803093,300.339000,288.243000,300.056863,106.000000,0.904762,1.523810,2.190476,14.708896,10.931060,11.747556,10.149796,6.250604,7.733767,4.360980,6.043382,2.860899,4.231534,1.858019,2.862833,-2.600000,13.386159,5.414300,2.950173,121.821563,4.523095,0.000000,11.578110,0.000000,10.023291,0.000000,4.722095,8.417797,0.000000,0.000000,53.687600,12.132734,11.629819,4.895483,12.940892,15.841154,0.000000,5.156663,0.000000,4.895483,4.722095,66.730038,11.323699,72.200000,10.023291,8.417797,10.713346,5.760247,5.563451,12.132734,24.265468,30.331835,9.878758,4.523095,31.856708,0.000000,0.175242,3.737984,0.828851,0.651915,18.987321,0.000000,0.000000,-3.654687,0.000000,21.000000,1.000000,5.000000,0.000000,0.000000,0.000000,2.000000,1.000000,3.000000,4.000000,1.000000,6.000000,4.000000,0.000000,0.000000,0.000000,3.000000,3.142400,79.189500
SM43,11.578643,-3.559270,11.578643,0.155142,0.911747,267.310000,254.206000,267.067762,96.000000,1.222222,1.888889,2.500000,13.173362,9.991522,10.808019,8.488000,5.212798,6.652861,3.831919,5.716472,2.282722,3.711247,1.285213,1.828271,-1.860000,12.593129,4.789544,2.687532,105.389564,4.523095,0.000000,11.578110,0.000000,0.000000,10.209329,4.722095,0.000000,12.723013,0.000000,35.488499,0.000000,25.725163,0.000000,12.940892,16.027192,0.000000,9.461879,0.000000,0.000000,18.817439,36.398202,11.323699,75.440000,10.209329,8.417797,5.817863,5.760247,9.868667,20.161711,0.000000,30.331835,9.878758,4.523095,31.598673,0.000000,0.000000,3.668209,0.833612,0.661675,10.851619,0.000000,0.000000,-0.697121,0.181818,18.000000,1.000000,6.000000,0.000000,0.000000,0.000000,1.000000,1.000000,2.000000,4.000000,1.000000,7.000000,4.000000,0.000000,0.000000,0.000000,2.000000,1.559900,68.168500
SM44,10.958273,-3.311863,10.958273,0.200327,0.850820,238.272000,228.192000,238.052447,84.000000,1.250000,1.937500,2.562500,11.596012,8.530487,9.346984,7.544625,4.500477,6.391889,3.258129,5.006584,1.804086,2.384015,1.207447,1.680876,-1.890000,10.621931,3.932905,2.571449,92.959413,0.000000,0.000000,5.817863,10.023291,0.000000,0.000000,4.722095,13.099600,0.000000,5.098682,23.412486,12.132734,0.000000,18.139999,8.417797,15.841154,0.000000,14.993870,0.000000,0.000000,10.977864,36.528679,5.687386,76.880000,10.023291,8.417797,5.817863,0.000000,11.943155,10.878647,0.000000,30.331835,15.034162,0.000000,25.659164,0.000000,0.000000,7.510941,0.816251,0.200327,9.300855,2.574326,0.000000,-3.311863,0.111111,16.000000,1.000000,6.000000,0.000000,0.000000,0.000000,1.000000,1.000000,2.000000,5.000000,1.000000,7.000000,3.000000,0.000000,0.000000,0.000000,2.000000,0.638800,59.825500
SM45,12.159198,-3.648020,12.159198,0.169172,0.799893,300.343000,288.247000,300.068097,106.000000,0.904762,1.523810,2.190476,14.708896,10.917239,11.733735,10.149796,6.207036,7.690200,4.302453,5.984855,2.806562,4.177197,1.813736,2.815886,-2.670000,13.319405,5.372134,2.922583,121.651565,0.000000,0.000000,5.817863,0.000000,10.023291,0.000000,4.722095,13.099600,0.000000,5.098682,41.611588,24.265468,0.000000,16.779713,8.417797,15.841154,0.000000,14.993870,0.000000,4.895483,4.722095,66.860514,5.687386,76.880000,10.023291,8.417797,10.713346,0.000000,5.687386,23.011381,18.199101,30.331835,15.034162,0.000000,28.223701,0.000000,0.179871,7.729942,0.801073,0.169172,17.437293,1.523634,0.000000,-3.648020,0.000000,21.000000,1.000000,6.000000,0.000000,0.000000,0.000000,2.000000,1.000000,3.000000,5.000000,1.000000,7.000000,4.000000,0.000000,0.000000,0.000000,3.000000,2.068100,78.609500
SM46,11.583273,-3.552604,11.583273,0.173660,0.873690,267.314000,254.210000,267.078996,96.000000,1.222222,1.888889,2.500000,13.173362,9.977701,10.794197,8.488000,5.169230,6.609293,3.773392,5.657945,2.228384,3.656910,1.240930,1.781324,-1.930000,12.524931,4.746711,2.658143,105.219566,0.000000,0.000000,5.817863,0.000000,0.000000,10.209329,4.722095,4.681803,12.723013,5.098682,23.412486,12.132734,14.095344,11.884230,8.417797,16.027192,0.000000,19.299086,0.000000,0.000000,18.817439,36.528679,5.687386,80.120000,10.209329,8.417797,5.817863,0.000000,9.992602,24.973990,0.000000,30.331835,15.034162,0.000000,28.035689,0.000000,0.000000,7.607312,0.805834,0.173660,9.300855,1.510301,0.000000,-0.683652,0.200000,18.000000,1.000000,7.000000,0.000000,0.000000,0.000000,1.000000,1.000000,2.000000,5.000000,1.000000,8.000000,4.000000,0.000000,0.000000,0.000000,2.000000,0.485600,67.588500
