Molecule,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,Carboxylic acid,Alkyl Carbon,Allenic Carbon,Vinylic Carbon,Acetylenic Carbon,Carbonyl group. Low specificity,Carbonyl group,Carbonyl with Carbon,Carbonyl with Nitrogen,Carbonyl with Oxygen,Acyl Halide,Aldehyde,Anhydride,Amide,Amidinium,Carbamate,Carbamic ester,Carbamic acid,Carboxylate Ion,Carbonic acid or Carbonic Ester,Carbonic Acid or Carbonic Acid-Ester,Carbonic Ester,Carboxylic acid or conjugate base.,Cyanamide,Ester Also or anhydrides,Ketone,Ether,Primary or secondary amine,Enamine,Primary amine,Two primary or secondary amines,Enamine or Aniline Nitrogen,Azide group,Azide ion,Azo Nitrogen.diazene,Azoxy Nitrogen,Diazo Nitrogen,Azole,Hydrazine,Hydrazone,Imine - Schiff base,Imine - Substutuded/unsubstituted,Iminium,Imide,Dicarboximide,Dicarboxdiimide,Nitrate group,Nitrate Anion,Nitrile,Isonitrile,Nitro,Nitroso,N-oxide,Hydroxyl,Enol,Phenol,Hydroxyl acidic,Peroxide,Carbo-Thiocarboxylate,Carbo-Thioester,Thiol,Thioamide,Sulfide,Sulfinate,Sulfone,Sulfonate,Sulfonamide,Carbo-azosulfone,Sulfoxide,Sulfate,Sulfuric acid ester,Sulfamate,Sulfenic acid,Sulfenate,Trifluoro methyl,Tricloro methyl,Thiourea,Thiophenol,Urea,Lactam,Hydroxylamine,Oxime,Azide,Benzene,Morpholine,Piperidine,Pyrazole,"1,3-oxathiolan-2-one","thiete 1,1-dioxide",thietanone,thietan,oxetane,isoxazole,"1,2,3 triazole",frag000062,frag000353,frag000341,frag000001,frag000119,frag000282,frag000205,frag000275,frag000075,frag000065,frag000044,frag000245,frag000086,frag000140,frag000216,frag000240,frag000215,frag000210,frag000349,frag000350,frag000212,frag000284,frag000344,frag000015,frag000352,frag000337,frag000254,frag000355,frag000002
SM35,11.347586,-3.254895,11.347586,0.423515,0.865544,287.406,270.27,287.064985,100,1.277778,1.888889,2.388889,13.225768,10.25642,11.889413,8.386359,5.76462,9.144065,4.868658,8.074116,3.011516,5.564442,2.249923,5.046738,-0.72,13.705666,5.107547,3.634441,110.300117,0,0,0,10.023291,0,0,4.208898,13.139892,0,0,30.331835,18.405095,22.305276,11.794694,12.626695,20.82286,0,4.722095,0,18.380568,17.761476,35.895287,0,63.24,26.361785,12.626695,0,17.926529,12.676591,5.563451,0,30.331835,4.722095,0,36.632479,0,0,0,0.665496,0.847031,9.912525,2.633821,0,-4.135796,0.5,18,1,4,0,1,1,1,0,1,3,1,6,5,0,1,1,2,0.6695,73.3499,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM36,12.548512,-3.591053,12.548512,0.247008,0.868584,349.477,330.325,349.080635,122,0.956522,1.521739,2.086957,16.338653,12.643171,14.276164,10.99153,7.471179,10.442376,5.912982,9.052387,4.013991,7.357623,2.800243,6.013843,-1.5,16.361023,6.549149,3.88436,138.992269,0,0,0,10.023291,0,0,4.208898,13.139892,0,0,48.530937,30.537829,22.305276,10.434409,12.626695,20.82286,0,4.722095,0,23.276052,11.505707,66.227122,0,63.24,26.361785,12.626695,4.895483,17.926529,11.984273,0,30.331835,30.331835,4.722095,0,39.524266,0,0.247008,0,0.554179,0.761701,18.256505,1.406911,0,-4.528348,0.294118,23,1,4,0,1,1,2,0,2,3,1,6,6,0,1,1,3,2.0988,92.1339,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM37,11.972586,-3.495636,11.972586,0.395738,0.831743,316.448,296.288,316.091534,112,1.25,1.85,2.35,14.803119,11.703634,13.336627,9.329734,6.433373,9.36147,5.383921,8.725477,3.435814,6.837336,2.221528,4.961554,-0.76,15.625493,5.928377,3.661319,122.56027,0,0,0,0,10.209329,0,4.208898,0,17.445108,0,30.331835,18.405095,36.40062,5.538925,12.626695,21.008898,0,9.027311,0,18.380568,25.601051,35.895287,0,66.48,26.547823,12.626695,0,17.926529,16.289489,14.095344,0,30.331835,4.722095,0,39.252526,0,0,0,0.59508,0.791475,9.912525,1.434337,0,-1.430388,0.538462,20,1,5,0,1,1,1,0,1,3,1,7,6,0,1,1,2,0.5163,81.1129,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM38,11.364781,-3.411655,11.364781,0.111207,0.850152,303.405,286.269,303.0599,106,1.210526,1.789474,2.263158,14.148418,10.664668,12.297661,8.699619,5.931287,9.644065,5.172401,8.985347,3.129367,5.917995,2.475515,5.723515,-0.92,14.4883,4.880949,4.020949,113.551261,0,0,9.837253,10.023291,0,0,0,21.557689,0,0,30.331835,18.405095,0,23.300402,16.835594,19.860544,0,4.722095,0,18.380568,17.761476,35.895287,0,80.31,25.39947,16.835594,11.505707,12.841643,11.819221,0,0,30.331835,4.722095,0,47.929721,0,0,0,0.239716,-0.222414,9.608611,2.198809,0,-6.504444,0.5,19,1,5,0,1,1,1,0,1,4,1,7,5,0,1,1,2,0.3356,74.1273,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM39,12.556999,-3.747812,12.556999,0.146652,0.845896,365.476,346.324,365.07555,128,0.916667,1.458333,2,17.261302,13.05142,14.684413,11.30479,7.637846,10.942376,6.216725,9.963618,4.131843,7.711176,3.025835,6.69062,-1.7,17.133714,6.308905,3.853037,142.243413,0,0,9.837253,10.023291,0,0,0,21.557689,0,0,48.530937,30.537829,0,21.940116,16.835594,19.860544,0,4.722095,0,23.276052,11.505707,66.227122,0,80.31,25.39947,16.835594,16.401191,12.841643,5.563451,12.132734,18.199101,30.331835,4.722095,0,51.158018,0,0.146652,0,0.128399,-0.307744,17.648677,1.065453,0,-6.922788,0.294118,24,1,5,0,1,1,2,0,2,4,1,7,6,0,1,1,3,1.7649,92.9113,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM40,11.981073,-3.652395,11.981073,0.138985,0.805522,332.447,312.287,332.086449,118,1.190476,1.761905,2.238095,15.725768,12.111882,13.744875,9.642994,6.60004,9.86147,5.687664,9.636708,3.553665,7.190889,2.44712,5.638331,-0.96,16.411192,5.676229,4.029621,125.811414,0,0,9.837253,0,10.209329,0,0,8.417797,17.445108,0,30.331835,18.405095,14.095344,17.044632,16.835594,20.046582,0,9.027311,0,18.380568,25.601051,35.895287,0,83.55,25.585508,16.835594,11.505707,12.841643,9.868667,14.095344,0,30.331835,4.722095,0,50.612465,0,0,0,0.169299,-0.277969,9.608611,1.092879,0,-3.955285,0.538462,21,1,6,0,1,1,1,0,1,4,1,8,6,0,1,1,2,0.1824,81.8903,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM41,10.953643,-3.31853,10.953643,0.181808,0.883123,238.268,228.188,238.041213,84,1.25,1.9375,2.5625,11.596012,8.544308,9.360805,7.544625,4.544045,6.435456,3.316656,5.065111,1.858424,2.438353,1.251731,1.727823,-1.82,10.689651,3.97454,2.603864,93.129411,4.523095,0,11.57811,10.023291,0,0,4.722095,8.417797,0,0,35.488499,0,11.629819,6.255769,12.940892,15.841154,0,5.156663,0,0,10.977864,36.398202,11.323699,72.2,10.023291,8.417797,5.817863,5.760247,11.819221,6.066367,0,30.331835,9.878758,4.523095,29.165553,0,0,3.612654,0.844029,0.701947,10.851619,1.059395,0,-3.31853,0.1,16,1,5,0,0,0,1,1,2,4,1,6,3,0,0,0,2,1.7131,60.4055,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM42,12.154569,-3.654687,12.154569,0.150654,0.803093,300.339,288.243,300.056863,106,0.904762,1.52381,2.190476,14.708896,10.93106,11.747556,10.149796,6.250604,7.733767,4.36098,6.043382,2.860899,4.231534,1.858019,2.862833,-2.6,13.386159,5.4143,2.950173,121.821563,4.523095,0,11.57811,0,10.023291,0,4.722095,8.417797,0,0,53.6876,12.132734,11.629819,4.895483,12.940892,15.841154,0,5.156663,0,4.895483,4.722095,66.730038,11.323699,72.2,10.023291,8.417797,10.713346,5.760247,5.563451,12.132734,24.265468,30.331835,9.878758,4.523095,31.856708,0,0.175242,3.737984,0.828851,0.651915,18.987321,0,0,-3.654687,0,21,1,5,0,0,0,2,1,3,4,1,6,4,0,0,0,3,3.1424,79.1895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM43,11.578643,-3.55927,11.578643,0.155142,0.911747,267.31,254.206,267.067762,96,1.222222,1.888889,2.5,13.173362,9.991522,10.808019,8.488,5.212798,6.652861,3.831919,5.716472,2.282722,3.711247,1.285213,1.828271,-1.86,12.593129,4.789544,2.687532,105.389564,4.523095,0,11.57811,0,0,10.209329,4.722095,0,12.723013,0,35.488499,0,25.725163,0,12.940892,16.027192,0,9.461879,0,0,18.817439,36.398202,11.323699,75.44,10.209329,8.417797,5.817863,5.760247,9.868667,20.161711,0,30.331835,9.878758,4.523095,31.598673,0,0,3.668209,0.833612,0.661675,10.851619,0,0,-0.697121,0.181818,18,1,6,0,0,0,1,1,2,4,1,7,4,0,0,0,2,1.5599,68.1685,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM44,10.958273,-3.311863,10.958273,0.200327,0.85082,238.272,228.192,238.052447,84,1.25,1.9375,2.5625,11.596012,8.530487,9.346984,7.544625,4.500477,6.391889,3.258129,5.006584,1.804086,2.384015,1.207447,1.680876,-1.89,10.621931,3.932905,2.571449,92.959413,0,0,5.817863,10.023291,0,0,4.722095,13.0996,0,5.098682,23.412486,12.132734,0,18.139999,8.417797,15.841154,0,14.99387,0,0,10.977864,36.528679,5.687386,76.88,10.023291,8.417797,5.817863,0,11.943155,10.878647,0,30.331835,15.034162,0,25.659164,0,0,7.510941,0.816251,0.200327,9.300855,2.574326,0,-3.311863,0.111111,16,1,6,0,0,0,1,1,2,5,1,7,3,0,0,0,2,0.6388,59.8255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM45,12.159198,-3.64802,12.159198,0.169172,0.799893,300.343,288.247,300.068097,106,0.904762,1.52381,2.190476,14.708896,10.917239,11.733735,10.149796,6.207036,7.6902,4.302453,5.984855,2.806562,4.177197,1.813736,2.815886,-2.67,13.319405,5.372134,2.922583,121.651565,0,0,5.817863,0,10.023291,0,4.722095,13.0996,0,5.098682,41.611588,24.265468,0,16.779713,8.417797,15.841154,0,14.99387,0,4.895483,4.722095,66.860514,5.687386,76.88,10.023291,8.417797,10.713346,0,5.687386,23.011381,18.199101,30.331835,15.034162,0,28.223701,0,0.179871,7.729942,0.801073,0.169172,17.437293,1.523634,0,-3.64802,0,21,1,6,0,0,0,2,1,3,5,1,7,4,0,0,0,3,2.0681,78.6095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM46,11.583273,-3.552604,11.583273,0.17366,0.87369,267.314,254.21,267.078996,96,1.222222,1.888889,2.5,13.173362,9.977701,10.794197,8.488,5.16923,6.609293,3.773392,5.657945,2.228384,3.65691,1.24093,1.781324,-1.93,12.524931,4.746711,2.658143,105.219566,0,0,5.817863,0,0,10.209329,4.722095,4.681803,12.723013,5.098682,23.412486,12.132734,14.095344,11.88423,8.417797,16.027192,0,19.299086,0,0,18.817439,36.528679,5.687386,80.12,10.209329,8.417797,5.817863,0,9.992602,24.97399,0,30.331835,15.034162,0,28.035689,0,0,7.607312,0.805834,0.17366,9.300855,1.510301,0,-0.683652,0.2,18,1,7,0,0,0,1,1,2,5,1,8,4,0,0,0,2,0.4856,67.5885,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
